ADM_CD,구,행정동명,법정동추정명,지도기준일자,기준연월,세대수,총인구,19세이상인구,65세이상인구,생산가능인구_19_64세,세대당_총인구,생산가능인구비율_19_64세,65세이상인구비율,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의,가격매핑방식
31021610,수정구,산성동,산성동,20250630,2026-03,2093,4377,3942,1143,2799,2.091256569517439,0.6394790952707334,0.26113776559287183,산성동,연립_다세대,74.0,2348.5478751734017,2242.985342662134,32650.0,52.88,False,110.0,1033.1140354523836,1052.6362869994573,16000.0,53.955,False,41.0,104.71333544504277,3.654653266331658,1000.0,50.0,45.36,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021620,수정구,양지동,양지동,20250630,2026-03,4249,8842,8038,2239,5799,2.0809602259355144,0.6558470934177788,0.25322325265776974,양지동,단독_다가구,2.0,768.0416697894026,768.0416697894026,31000.0,133.43,True,37.0,976.170087110586,929.5071481357968,15000.0,50.82,False,152.0,97.22941176470589,3.896121428571428,1000.0,40.0,37.725,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021620,수정구,양지동,양지동,20250630,2026-03,4249,8842,8038,2239,5799,2.0809602259355144,0.6558470934177788,0.25322325265776974,양지동,아파트,14.0,2396.833085605405,2390.4485857166,53250.0,83.64,False,18.0,1634.1846943339376,1505.3990129016524,37750.0,83.675,False,5.0,389.09159388903277,4.90656771799629,10000.0,80.0,83.88,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021620,수정구,양지동,양지동,20250630,2026-03,4249,8842,8038,2239,5799,2.0809602259355144,0.6558470934177788,0.25322325265776974,양지동,연립_다세대,55.0,1520.8975694444446,1528.0894690558216,24500.0,57.6,False,54.0,1067.5825141297037,1124.3316213645235,19225.0,51.0,False,32.0,337.94725005111434,3.3794725005111435,5000.0,46.5,47.135000000000005,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021670,수정구,복정동,복정동,20250630,2026-03,7875,13540,11817,1512,10305,1.7193650793650794,0.7610782865583456,0.11166912850812408,복정동,단독_다가구,8.0,1290.897419711183,1231.4324801500823,266000.0,675.82,False,310.0,1177.9084268662034,1187.0341795865513,18000.0,50.0,False,1560.0,183.65555555555554,5.749217391304348,2000.0,52.5,29.0,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021670,수정구,복정동,복정동,20250630,2026-03,7875,13540,11817,1512,10305,1.7193650793650794,0.7610782865583456,0.11166912850812408,복정동,아파트,,,,,,,7.0,3309.6612714833973,3408.892450149585,56000.0,59.93,False,10.0,945.756679001914,9.501357572859101,15000.0,160.0,57.905,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021670,수정구,복정동,복정동,20250630,2026-03,7875,13540,11817,1512,10305,1.7193650793650794,0.7610782865583456,0.11166912850812408,복정동,연립_다세대,7.0,2131.1671131949097,2216.9439644398362,38500.0,53.85,False,5.0,1200.6537530266344,1354.4403118062323,8000.0,23.6,False,15.0,163.9781746031746,5.794566170026293,1000.0,45.0,28.38,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021680,수정구,위례동,위례동,20250630,2026-03,18748,45248,36691,7380,29311,2.413484104971197,0.6477855374823197,0.1631011315417256,,,,,,,,,,,,,,,,,,,,,,매칭 없음
31021640,수정구,신촌동,신촌동,20250630,2026-03,1991,4452,3676,624,3052,2.236062280261175,0.6855345911949685,0.14016172506738545,신촌동,단독_다가구,2.0,1863.7298962917525,1863.7298962917525,215000.0,372.18,True,12.0,1096.7090762583068,1151.6466878464314,24500.0,55.644999999999996,False,25.0,145.84411764705882,4.375323529411765,5000.0,110.0,78.49,False,행정동명에서 숫자를 제거한 법정동명 추정 매핑
31021640,수정구,신촌동,신촌동,20250630,2026-03,1991,4452,3676,624,3052,2.236062280261175,0.6855345911949685,0.14016172506738545,신촌동,연립_다세대,,,,,,,,,,,,,1.0,143.17020355132092,5.726808142052837,4000.0,160.0,92.36,True,행정동명에서 숫자를 제거한 법정동명 추정 매핑
