구,법정동명,건축유형,매매_거래건수,매매가_평당_중앙값,매매가_평당_평균,매매가_총액_중앙값,매매_전용면적_중앙값,매매_거래건수_주의,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의,월세_거래건수,월세보증금_평당_중앙값,월세_평당_중앙값,월세보증금_총액_중앙값,월세_총액_중앙값,월세_전용면적_중앙값,월세_거래건수_주의
분당구,정자동,오피스텔,351.0,3001.3645966029726,3088.3152312999287,33900.0,37.72,False,807.0,2745.0296559905105,2689.173578835692,26000.0,34.07,False,1724.0,132.33787029623699,9.93056995058013,1500.0,90.0,29.99,False
분당구,판교동,단독_다가구,5.0,3552.4749815299892,3339.1225659291654,250000.0,231.5,False,118.0,1556.0621480599525,1685.8164977121496,30975.0,65.67,False,99.0,626.0984848484849,3.959041916167665,15000.0,80.0,81.2,False
분당구,판교동,아파트,273.0,5945.824162820968,6018.396213429551,155000.0,84.9505,False,505.0,2935.6678267130687,2846.2695801546033,75600.0,84.87,False,455.0,1217.068246233522,2.9182556497175147,30966.0,75.0,84.87,False
분당구,판교동,연립_다세대,13.0,5032.762930461376,4897.665273317544,218000.0,150.42,False,23.0,2760.0906488549617,2877.0972964542966,115000.0,128.38,False,12.0,976.0477834455382,6.849248844511239,40000.0,268.0,125.76,False
분당구,판교동,오피스텔,2.0,2074.660757969618,2074.660757969618,21750.0,34.545,True,11.0,2129.6897186431765,2202.268696694536,26100.0,38.03,False,12.0,2021.6777251784265,0.5997938084967309,18900.0,5.5,30.35,False
수정구,고등동,단독_다가구,,,,,,,68.0,2093.8956373723363,1985.8303509646314,30000.0,49.8,False,143.0,613.6625208836086,7.020174134635803,10000.0,100.0,45.7,False
수정구,고등동,아파트,241.0,4777.55055851302,4789.9477155460045,122000.0,84.9826,False,150.0,2722.8335561119793,2763.519092437531,67000.0,84.9872,False,378.0,796.2278801209789,2.259318278134849,7884.0,16.0,36.37,False
수정구,고등동,연립_다세대,,,,,,,,,,,,,5.0,638.8580463808854,2.787744202389318,11000.0,48.0,71.3,False
수정구,고등동,오피스텔,4.0,3678.5792280493515,3337.698981355432,66750.0,59.9739,True,36.0,2450.7578253706756,2477.38462537159,50000.0,59.99,False,30.0,389.0091786302659,9.336220287126382,10000.0,197.5,84.97,False
수정구,금토동,단독_다가구,,,,,,,4.0,794.4046533215569,865.6276284731656,18000.0,73.425,True,12.0,226.59477505098118,6.5538813715294975,3000.0,97.5,51.49,False
수정구,금토동,연립_다세대,,,,,,,3.0,1106.7243478260868,1554.2182075679484,15400.0,46.0,True,3.0,1570.0037993920973,3.7651480637813215,25000.0,60.0,52.68,True
수정구,금토동,오피스텔,,,,,,,,,,,,,2.0,128.54223472026402,12.675419298605203,1000.0,110.0,30.05,True
수정구,단대동,단독_다가구,5.0,1368.1013424851117,1190.6897154647859,36500.0,176.73,False,27.0,823.6188103394582,849.3517626044728,15000.0,58.91,False,78.0,92.14091335885931,3.882905444323728,1000.0,46.5,41.315,False
수정구,단대동,아파트,161.0,3165.372562674095,3455.7392846320845,80000.0,84.7,False,170.0,1808.3629569986074,1900.0683370051981,41000.0,77.82,False,98.0,532.6303792319197,3.700795376760757,10000.0,50.0,44.756,False
수정구,단대동,연립_다세대,141.0,1500.7414880201768,1500.1310997386477,18700.0,40.8,False,159.0,956.8608776844071,946.3190418529197,11500.0,40.8,False,64.0,88.62775353637461,3.2452842896205034,1000.0,45.0,41.6725,False
수정구,단대동,오피스텔,,,,,,,,,,,,,1.0,329.5912263210369,2.265939680957129,8000.0,55.0,80.24,True
수정구,복정동,단독_다가구,8.0,1290.897419711183,1231.4324801500823,266000.0,675.82,False,310.0,1177.9084268662034,1187.0341795865513,18000.0,50.0,False,1560.0,183.65555555555554,5.749217391304348,2000.0,52.5,29.0,False
수정구,복정동,아파트,,,,,,,7.0,3309.6612714833973,3408.892450149585,56000.0,59.93,False,10.0,945.756679001914,9.501357572859101,15000.0,160.0,57.905,False
수정구,복정동,연립_다세대,7.0,2131.1671131949097,2216.9439644398362,38500.0,53.85,False,5.0,1200.6537530266344,1354.4403118062323,8000.0,23.6,False,15.0,163.9781746031746,5.794566170026293,1000.0,45.0,28.38,False
수정구,사송동,단독_다가구,,,,,,,13.0,1328.4388699464198,1339.2813102317564,32000.0,74.22,False,26.0,405.5726851851852,2.040940166432255,10000.0,47.5,72.695,False
수정구,사송동,연립_다세대,5.0,3032.148589772988,2616.371285850418,52000.0,55.48,False,5.0,2028.6340947794938,2163.8202009181,31350.0,51.22,False,9.0,304.9630996309963,4.262248581743167,3000.0,47.0,51.22,False
수정구,산성동,단독_다가구,1.0,4901.343848580443,4901.343848580443,47000.0,31.7,True,7.0,855.6332039193936,838.9295833021843,14000.0,54.29,False,34.0,54.60956450556647,4.361239305054152,500.0,47.5,36.33,False
수정구,산성동,연립_다세대,74.0,2348.5478751734017,2242.985342662134,32650.0,52.88,False,110.0,1033.1140354523836,1052.6362869994573,16000.0,53.955,False,41.0,104.71333544504277,3.654653266331658,1000.0,50.0,45.36,False
수정구,상적동,단독_다가구,,,,,,,12.0,1094.211785948925,1457.0346630866645,40000.0,91.34,False,11.0,215.96655125106162,3.9828915662650606,10000.0,100.0,115.25,False
수정구,상적동,연립_다세대,1.0,1946.9771643301056,1946.9771643301056,81500.0,138.38,True,10.0,1357.1529319209003,1516.9639446498795,41200.0,99.61949999999999,False,,,,,,,
수정구,수진동,단독_다가구,383.0,2281.807528207073,2455.385641887317,81000.0,117.71,False,476.0,940.0215921530578,954.9863336501749,12000.0,39.754999999999995,False,689.0,72.36865148861646,4.064870355519915,500.0,40.0,36.38,False
수정구,수진동,아파트,88.0,2858.425724921709,3079.004775786317,71500.0,84.7394,False,82.0,1722.4317475867624,1741.4456470432037,40000.0,84.63470000000001,False,75.0,407.62022194821213,6.228001799183773,5000.0,62.0,59.76,False
수정구,수진동,연립_다세대,62.0,3629.7048043331715,3655.8677734971034,61500.0,59.865,False,54.0,1132.463390305868,1179.1337286998141,20000.0,59.555,False,34.0,233.63567547674842,3.3026453378420912,4400.0,42.5,58.1257,False
수정구,수진동,오피스텔,3.0,1605.167390748786,1639.3727538434784,25000.0,57.2,True,3.0,1313.6172854836707,1291.3826752927412,27000.0,63.77,True,57.0,117.81183178902353,6.719616261398176,1000.0,60.0,29.58,False
수정구,시흥동,단독_다가구,2.0,2312.340250962615,2312.340250962615,512285.0,732.38,True,14.0,1096.909432541399,1240.12136774512,30000.0,81.82,False,15.0,91.82777777777777,5.371925,1000.0,65.0,46.09,False
수정구,시흥동,아파트,,,,,,,1.0,1556.1936785474109,1556.1936785474109,21000.0,44.61,True,63.0,783.2389031078611,3.323930530164534,5184.0,22.0,21.88,False
수정구,시흥동,연립_다세대,2.0,2455.5738091495045,2455.5738091495045,47250.0,63.61,True,6.0,1485.038795736427,1405.1448865856767,24075.0,61.94,False,2.0,992.8018457138842,2.2877574383389643,19490.0,47.5,66.275,True
수정구,시흥동,오피스텔,7.0,3582.5255096620103,3796.0068659484677,25500.0,23.5303,False,19.0,3347.6455696202534,3263.959654688343,28000.0,27.41,False,162.0,138.02922755741128,18.212253756260434,1000.0,132.0,23.95,False
수정구,신촌동,단독_다가구,2.0,1863.7298962917525,1863.7298962917525,215000.0,372.18,True,12.0,1096.7090762583068,1151.6466878464314,24500.0,55.644999999999996,False,25.0,145.84411764705882,4.375323529411765,5000.0,110.0,78.49,False
수정구,신촌동,연립_다세대,,,,,,,,,,,,,1.0,143.17020355132092,5.726808142052837,4000.0,160.0,92.36,True
