source_year,gu_name,dong_name,admi_cd,total_commute,subway_share,bus_share,car_share,other_share,avg_stay_duration,short_stay_share,axis_commute_share,seoul_commute_share,accessibility_score,vulnerability_score,high_demand_low_access,bus,car,subway,walk,express_bus,rail,air,other,total_od_commute
2024,분당구,구미1동,41135665,741396.7,0.3631323015060628,0.1536740856817949,0.3799482787015372,0.103245334110605,414.6813374650845,0.0338024703913572,0.3341988745450325,0.2375496394678967,0.5657127995509896,-0.5657127995509896,-1.2633896186482312,113933.46,281692.4,269225.09,50484.18,0.0,0.0,0.0,26061.57,1237110.36
2024,분당구,정자1동,41135550,1537224.03,0.2561554674629956,0.1037207374386412,0.4112209330997772,0.2289028619985858,417.92863917499386,0.0334424839819866,0.483682329944975,0.2376533048923655,0.5640437833621282,-0.5640437833621282,0.2481279340556024,159442.01,632138.7,393768.34,213405.87,24.75,19.54,0.0,138424.82,2538797.81
2024,분당구,정자동,41135545,660334.74,0.2479636464378657,0.1175544845633897,0.4584475746346466,0.1760342943640978,414.6648694374311,0.0331720090934485,0.4486521291800226,0.2254123104961248,0.3951058798104648,-0.3951058798104648,-1.0958795609476937,77625.31,302728.86,163739.01,66140.0,0.0,11.44,0.0,50090.12,1127879.97
2024,분당구,수내1동,41135520,833448.7300000001,0.1895003427505372,0.1532229103042726,0.4765682827304806,0.1807084642147093,419.0204022454986,0.0313679402930999,0.5075006214122612,0.2185119403648354,0.2296319143031486,-0.2296319143031486,-0.4562779904899635,127703.44,397195.23,157938.82,93231.11,25.7,0.0,0.0,57354.43,1410899.1
2024,분당구,정자2동,41135560,704959.56,0.2064456293067364,0.1401546919939634,0.5181492963936825,0.1352503823056176,419.12261039030375,0.0294662008697349,0.4133758508568977,0.253591519266079,0.1933507448111642,-0.1933507448111642,-0.6315148083154981,98803.39,365274.3,145535.82,47595.89,0.0,0.0,0.0,47750.16,1055269.99
2024,분당구,이매1동,41135600,1250569.23,0.2395835214976463,0.1810710391459095,0.4687311153497675,0.1106143240066765,415.8806683713144,0.0312682809251591,0.3398054051539603,0.2863047866223476,0.1844158778189127,-0.1844158778189127,0.4194285736640949,226441.87,586180.71,299615.78,74959.96,0.0,10.59,0.0,63360.32,1745585.8
2024,분당구,백현동,41135657,1301551.85,0.178523091492667,0.1821842671884335,0.4931214995391847,0.1461711417797147,410.87032388844136,0.033024669743276,0.4729948189473791,0.2538820372777213,0.161822034498686,-0.161822034498686,0.5585895289592836,237122.27,641823.2,232357.06,104652.54,0.0,5.93,0.0,85590.85,2030815.12
2024,분당구,삼평동,41135655,1352616.7000000002,0.1658144986676565,0.2104208901161725,0.4583538337209646,0.1654107774952061,413.8725649550977,0.0321190844383334,0.544643312297302,0.2082300238111663,0.1106694032952272,-0.1106694032952272,0.7516655409318732,284618.81,619977.05,224283.46,158684.58,0.0,17.41,0.0,65035.39,2443244.45
2024,분당구,이매2동,41135610,231617.66,0.1714571764519165,0.1677350941201979,0.5828975217174718,0.0779102077104137,405.8735180775938,0.0306105760674725,0.392731735370632,0.2961144756070143,0.0846350683248686,-0.0846350683248686,-1.3240191107503536,38850.41,135009.36,39712.51,10705.52,0.0,16.880000000000003,0.0,7322.98,398540.8
2024,분당구,정자3동,41135570,784066.17,0.2135871261988002,0.1360720996290402,0.4732624926286514,0.1770782815435079,407.5152405795036,0.0345918891003803,0.3470732383899807,0.2345391168783229,0.019074362610546,-0.019074362610546,-0.1535209401006029,106689.53,371069.11,167466.44,86043.83,0.0,0.0,0.0,52797.26,1280826.9
