"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"97","경기도 성남시 중원구 중앙동","3**","다가구","8m미만","191.48","66.10","202510","15","85,000","개인","개인","1992","광명로","-","중개거래","경기 성남시 중원구"
"98","경기도 성남시 중원구 중앙동","3**","다가구","8m미만","94.21","68.80","202510","15","80,000","개인","개인","1972","광명로","20251110","중개거래","경기 성남시 중원구"
"99","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","151.14","68.10","202510","14","53,000","개인","개인","1995","박석로85번길","-","중개거래","경기 성남시 중원구"
"100","경기도 성남시 중원구 중앙동","2***","다가구","8m미만","145.12","93.90","202510","14","79,000","개인","개인","2001","광명로242번길","-","중개거래","경기 성남시 중원구"
"101","경기도 성남시 중원구 중앙동","1***","다가구","8m미만","154.70","64.50","202510","11","54,000","개인","개인","1992","광명로262번길","-","중개거래","경기 성남시 중원구"
"102","경기도 성남시 중원구 중앙동","1***","다가구","8m미만","154.70","64.50","202510","11","54,000","개인","개인","1992","광명로262번길","20251020","중개거래","경기 성남시 중원구"
"103","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","121.26","68.10","202510","08","48,000","개인","개인","1986","박석로61번길","-","중개거래","경기 성남시 중원구"
"104","경기도 성남시 중원구 중앙동","4**","단독","8m미만","86.20","62.50","202510","02","78,000","개인","개인","1973","광명로","-","중개거래","경기 성남시 중원구"
"105","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","125.42","67.10","202510","02","50,500","개인","개인","1992","박석로93번길","-","중개거래","경기 성남시 중원구"
"106","경기도 성남시 중원구 성남동","3***","다가구","8m미만","116.42","71.50","202510","02","38,000","개인","개인","2001","제일로35번길","-","중개거래","경기 성남시 중원구"
"107","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","80.46","67.10","202509","30","42,000","개인","개인","1984","박석로93번길","-","중개거래","경기 성남시 중원구"
"108","경기도 성남시 중원구 중앙동","2***","단독","8m미만","27.83","99.50","202509","29","40,500","개인","개인","1972","광명로256번길","20251013","중개거래","경기 성남시 중원구"
"109","경기도 성남시 중원구 중앙동","2***","단독","8m미만","27.83","99.50","202509","29","40,500","개인","개인","1972","광명로256번길","-","중개거래","경기 성남시 중원구"
"110","경기도 성남시 중원구 상대원동","4***","단독","8m미만","80.39","65.80","202509","27","74,700","개인","개인","1985","희망로327번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"111","경기도 성남시 중원구 상대원동","4***","다가구","8m미만","107.31","61.20","202509","25","76,000","개인","개인","1983","희망로335번길","-","중개거래","경기 성남시 중원구"
