"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"93","경기도 성남시 분당구 판교동","552","0552","0000","판교원마을10단지(힐스테이트연립)","전세","150.4200","202603","31","140,000","0","4","2009","서판교로 73","202604~202605","신규","-","","","연립다세대"
"94","경기도 성남시 분당구 운중동","349-4","0349","0004","더휴테라스(A)(B)","전세","57.9800","202603","30","40,000","0","1","2015","하오개로357번길 5","202603~202708","갱신","-","38,000","0","연립다세대"
"95","경기도 성남시 분당구 궁내동","337","0337","0000","하이츠빌프라다","전세","151.5100","202603","28","33,000","0","-1","2012","궁내로40번길 13","202606~202806","신규","-","","","연립다세대"
"96","경기도 성남시 분당구 운중동","307","0307","0000","운중동푸르지오하임","전세","84.7200","202603","27","71,000","0","3","2012","하오개로 377","202604~202804","갱신","사용","69,000","0","연립다세대"
"97","경기도 성남시 분당구 구미동","111","0111","0000","하얀그랜드(삼부)","전세","134.0400","202603","26","70,000","0","1","1995","미금로 114","202608~202808","신규","-","","","연립다세대"
"98","경기도 성남시 분당구 백현동","403-6","0403","0006","(403-6)","월세","52.5900","202603","26","500","40","-1","2001","대왕판교로385번길 12-3","202603~202803","신규","-","","","연립다세대"
"99","경기도 성남시 분당구 이매동","346-4","0346","0004","더블레스","월세","64.7000","202603","26","20,000","150","1","2022","이매로144번길 3","202604~202804","갱신","-","20,000","150","연립다세대"
"100","경기도 성남시 분당구 구미동","22","0022","0000","까치마을건영빌라3단지","전세","59.9300","202603","26","45,000","0","4","1995","미금일로90번길 23","202604~202804","갱신","-","38,500","0","연립다세대"
"101","경기도 성남시 분당구 동원동","104-3","0104","0003","조은아튼빌","월세","58.8800","202603","25","25,000","50","3","2015","동원로8번길 9-4","202605~202805","신규","-","","","연립다세대"
"102","경기도 성남시 분당구 동원동","104-3","0104","0003","조은아튼빌","월세","58.8800","202603","25","25,000","50","3","2015","동원로8번길 9-4","202605~202805","신규","-","","","연립다세대"
"103","경기도 성남시 분당구 동원동","103-11","0103","0011","신성쉐르빌","월세","60.6300","202603","25","23,000","30","2","2004","동원로 20","202603~202803","갱신","-","23,000","0","연립다세대"
"104","경기도 성남시 분당구 율동","289","0289","0000","리베하임","월세","73.5650","202603","25","10,000","95","-1","2019","새마을로165번길 13","202604~202804","신규","-","","","연립다세대"
"105","경기도 성남시 분당구 율동","289","0289","0000","리베하임","월세","73.5650","202603","25","10,000","100","-1","2019","새마을로165번길 13","202604~202804","신규","-","","","연립다세대"
"106","경기도 성남시 분당구 이매동","296","0296","0000","이매포스파크","전세","84.9900","202603","24","44,048","0","3","2003","이매로123번길 12","202603~202803","갱신","-","41,950","0","연립다세대"
"107","경기도 성남시 분당구 궁내동","343-3","0343","0003","갤러리하우스","월세","62.2150","202603","24","2,000","110","2","2009","궁내로 12","202604~202804","신규","-","","","연립다세대"
"108","경기도 성남시 분당구 서현동","146-1","0146","0001","서현포스파크1","월세","125.9700","202603","24","35,000","170","2","2003","새마을로83번길 15","202605~202805","신규","-","","","연립다세대"
"109","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","월세","59.9300","202603","23","10,000","180","1","1995","미금일로 122","202605~202805","신규","-","","","연립다세대"
"110","경기도 성남시 분당구 서현동","323","0323","0000","효자촌대명","전세","58.9500","202603","23","40,000","0","3","1995","분당로263번길 67","202605~202805","신규","-","","","연립다세대"
"111","경기도 성남시 분당구 분당동","60-6","0060","0006","아름빌라","월세","184.4400","202603","23","10,000","400","1","2000","예원로6번길 50","202604~202804","신규","-","","","연립다세대"
"112","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을현대","전세","51.1600","202603","22","31,000","0","1","1994","벌말로50번길 27","202603~202803","갱신","-","30,000","0","연립다세대"
"113","경기도 성남시 분당구 서현동","206-12","0206","0012","동양파크빌104동","월세","76.6700","202603","22","38,000","10","4","2002","안골로11번길 20","202604~202804","갱신","-","38,000","0","연립다세대"
"114","경기도 성남시 분당구 분당동","44-5","0044","0005","장원빌리지","전세","134.6600","202603","21","86,000","0","2","1997","예원로6번길 18","202607~202807","신규","-","","","연립다세대"
"115","경기도 성남시 분당구 분당동","140","0140","0000","굿모닝힐(101,102동)","전세","165.6000","202603","21","73,500","0","1","1996","서현로478번길 23","202605~202805","신규","-","","","연립다세대"
"116","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","전세","59.8800","202603","21","40,000","0","1","1995","미금일로 122","202606~202806","신규","-","","","연립다세대"
"117","경기도 성남시 분당구 율동","272","0272","0000","율동프라임힐즈","전세","79.7000","202603","21","30,000","0","-1","2017","새마을로165번길 19","202604~202804","신규","-","","","연립다세대"
"118","경기도 성남시 분당구 야탑동","512","0512","0000","탑마을동아","전세","59.8500","202603","21","50,000","0","1","1994","성남대로 884-4","202606~202806","신규","-","","","연립다세대"
"119","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","전세","57.9750","202603","21","32,000","0","4","1994","야탑로271번길 7","-","-","-","","","연립다세대"
"120","경기도 성남시 분당구 야탑동","265","0265","0000","매화마을건영빌라","전세","59.9300","202603","21","30,800","0","4","1995","벌말로30번길 32","202604~202804","갱신","-","29,400","0","연립다세대"
"121","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","전세","57.9750","202603","21","32,000","0","4","1994","야탑로271번길 7","202606~202806","신규","-","","","연립다세대"
"122","경기도 성남시 분당구 구미동","22","0022","0000","까치마을건영빌라3단지","전세","59.8800","202603","21","59,000","0","2","1995","미금일로90번길 23","202605~202805","갱신","-","46,000","0","연립다세대"
"123","경기도 성남시 분당구 구미동","12","0012","0000","까치마을건영빌라5단지","월세","59.8800","202603","21","15,000","113","2","1995","미금일로 136","202604~202804","갱신","-","15,000","105","연립다세대"
"124","경기도 성남시 분당구 야탑동","265","0265","0000","매화마을건영빌라","전세","59.8800","202603","21","40,000","0","2","1995","벌말로30번길 32","202606~202806","신규","-","","","연립다세대"
"125","경기도 성남시 분당구 서현동","323","0323","0000","효자촌대명","월세","57.6300","202603","21","1,000","140","2","1995","분당로263번길 67","202604~202607","신규","-","","","연립다세대"
