"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"63","경기도 성남시 분당구 삼평동","700","0700","0000","성남판교경기행복주택","월세","16.3900","202605","04","6,922","13","5","2020","판교로319번길 14","202607~202806","갱신","-","4,248","8","아파트"
"64","경기도 성남시 분당구 운중동","916","0916","0000","산운마을14단지(경남아너스빌)","전세","115.3900","202605","04","80,000","0","14","2009","판교원로82번길 60","202605~202811","갱신","-","78,000","0","아파트"
"65","경기도 성남시 분당구 구미동","77","0077","0000","까치마을(1단지)(대우롯데선경)","전세","70.6600","202605","04","51,000","0","2","1995","미금로 184","202606~202806","갱신","사용","51,000","0","아파트"
"66","경기도 성남시 분당구 운중동","921","0921","0000","산운마을12단지판교센트럴포레와이시티","월세","55.3600","202605","04","41,000","45","10","2009","판교원로 46","202605~202805","갱신","-","41,000","0","아파트"
"67","경기도 성남시 분당구 백현동","546","0546","0000","백현마을3단지(주공)임대","월세","46.8100","202605","04","7,844","15","7","2011","동판교로 92","202607~202806","갱신","-","4,531","31","아파트"
"68","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","월세","36.5400","202605","04","6,500","80","14","1995","미금로 216","202605~202805","신규","-","","","아파트"
"69","경기도 성남시 분당구 백현동","553","0553","0000","백현마을4단지(주공)임대","월세","51.6000","202605","04","5,625","37","15","2011","동판교로 91","202607~202806","갱신","-","5,364","34","아파트"
"70","경기도 성남시 분당구 금곡동","181","0181","0000","청솔마을(한라)","전세","84.3900","202605","02","71,000","0","12","1995","정자일로 72","202605~202805","갱신","사용","68,500","0","아파트"
"71","경기도 성남시 분당구 대장동","595","0595","0000","힐스테이트판교엘포레A6BL","전세","128.1160","202605","02","94,500","0","3","2021","판교대장로7길 16","202606~202806","갱신","사용","90,000","0","아파트"
"72","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","월세","38.0700","202605","02","5,000","100","3","1996","미금일로 21","202607~202801","신규","-","","","아파트"
"73","경기도 성남시 분당구 구미동","77","0077","0000","까치마을(1단지)(대우롯데선경)","월세","101.7600","202605","02","77,000","25","5","1995","미금로 184","202605~202805","갱신","-","77,000","0","아파트"
"74","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","월세","39.0100","202605","02","19,000","46","8","1996","미금일로 21","202608~202808","갱신","사용","19,000","40","아파트"
"75","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","전세","36.5400","202605","02","30,970","0","4","1995","미금로 216","202606~202806","갱신","사용","29,500","0","아파트"
"76","경기도 성남시 분당구 금곡동","141","0141","0000","청솔마을(대원)","전세","101.6700","202605","02","69,000","0","14","1994","미금로 215","202606~202806","갱신","사용","66,000","0","아파트"
"77","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","월세","42.8400","202605","02","15,000","62","17","1996","미금로 216","202606~202806","갱신","사용","15,000","57","아파트"
"78","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","월세","36.5400","202605","02","32,000","16","14","1995","미금로 216","202605~202805","갱신","사용","32,000","0","아파트"
"79","경기도 성남시 분당구 운중동","921","0921","0000","산운마을12단지판교센트럴포레와이시티","전세","59.8400","202605","02","63,000","0","17","2009","판교원로 46","202606~202706","갱신","사용","60,000","0","아파트"
"80","경기도 성남시 분당구 운중동","956","0956","0000","산운마을8단지(부영사랑으로)","전세","81.0190","202605","02","60,900","0","14","2008","산운로 98","202605~202805","갱신","사용","58,000","0","아파트"
"81","경기도 성남시 분당구 백현동","530","0530","0000","판교알파리움2단지","전세","129.2530","202605","02","161,000","0","18","2015","판교역로 145","202605~202805","신규","-","","","아파트"
"82","경기도 성남시 분당구 백현동","530","0530","0000","판교알파리움2단지","전세","129.4770","202605","02","136,500","0","6","2015","판교역로 145","202606~202806","갱신","사용","130,000","0","아파트"
"83","경기도 성남시 분당구 백현동","530","0530","0000","판교알파리움2단지","전세","129.4770","202605","02","136,500","0","6","2015","판교역로 145","202606~202806","갱신","사용","130,000","0","아파트"
"84","경기도 성남시 분당구 백현동","530","0530","0000","판교알파리움2단지","전세","96.8150","202605","02","122,000","0","13","2015","판교역로 145","202608~202808","갱신","-","110,000","0","아파트"
"85","경기도 성남시 분당구 삼평동","717","0717","0000","봇들마을2단지(이지더원)","전세","84.2822","202605","02","74,000","0","11","2009","판교로 393","202607~202807","신규","-","","","아파트"
"86","경기도 성남시 분당구 이매동","132","0132","0000","아름마을(건영)","전세","133.8900","202605","02","76,000","0","15","1992","판교로 430","202607~202807","갱신","-","68,000","0","아파트"
"87","경기도 성남시 분당구 수내동","52","0052","0000","파크타운(서안)","전세","184.7800","202605","02","110,000","0","4","1993","수내로 148","202608~202808","신규","-","","","아파트"
"88","경기도 성남시 분당구 판교동","585","0585","0000","판교원마을9단지(한림풀에버)","월세","71.8438","202605","02","40,000","100","3","2009","서판교로 29","202605~202805","갱신","-","40,000","70","아파트"
"89","경기도 성남시 분당구 서현동","87","0087","0000","시범한신","전세","84.6900","202605","02","66,150","0","15","1991","중앙공원로 53","202607~202807","갱신","사용","63,000","0","아파트"
"90","경기도 성남시 분당구 수내동","24","0024","0000","양지마을(5단지)(한양501-514)","전세","35.1000","202605","02","28,000","0","13","1993","내정로165번길 35","202605~202705","갱신","-","28,000","0","아파트"
"91","경기도 성남시 분당구 야탑동","156","0156","0000","목련마을(영남)","월세","53.6000","202605","02","20,000","55","9","1995","판교로 669","202605~202805","갱신","-","20,000","50","아파트"
"92","경기도 성남시 분당구 야탑동","215","0215","0000","매화마을공무원2","전세","67.4300","202605","02","43,200","0","8","1995","장미로 139","202607~202807","갱신","-","42,200","0","아파트"
"93","경기도 성남시 분당구 야탑동","536","0536","0000","탑마을(선경)1","전세","101.7600","202605","02","54,300","0","3","1992","야탑로 20","202605~202805","갱신","-","51,300","0","아파트"
"94","경기도 성남시 분당구 서현동","87","0087","0000","시범한신","전세","84.6900","202605","02","83,000","0","4","1991","중앙공원로 53","202609~202809","신규","-","","","아파트"
"95","경기도 성남시 분당구 판교동","494","0494","0000","판교원마을12단지(힐스테이트)","월세","101.9800","202605","02","41,500","120","3","2009","서판교로 165","202607~202807","갱신","사용","40,000","120","아파트"
"96","경기도 성남시 분당구 판교동","635","0635","0000","판교원마을6단지(판교대광로제비앙)","전세","58.1400","202605","02","60,000","0","6","2009","판교원로 209","202607~202807","신규","-","","","아파트"
"97","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","전세","36.0000","202605","02","22,000","0","1","1994","백현로 206","-","-","-","","","아파트"
"98","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","월세","39.8700","202605","02","20,000","35","6","1995","내정로 54","202606~202806","갱신","사용","20,000","30","아파트"
"99","경기도 성남시 분당구 정자동","6","0006","0000","파크뷰","월세","182.2320","202605","02","70,000","600","28","2004","정자일로 248","202606~202806","신규","-","","","아파트"
"100","경기도 성남시 분당구 정자동","215","0215","0000","더샵분당파크리버","전세","84.9987","202605","02","105,000","0","15","2021","돌마로 171","202607~202807","신규","-","","","아파트"
"101","경기도 성남시 분당구 정자동","200","0200","0000","정든마을(1단지)(동아)","전세","124.2600","202605","02","80,000","0","14","1995","불정로 141","202608~202808","신규","-","","","아파트"
"102","경기도 성남시 분당구 정자동","197","0197","0000","정든마을(4단지)(우성)","전세","101.9800","202605","02","74,000","0","4","1995","정자로 144","202606~202806","갱신","-","70,000","0","아파트"
"103","경기도 성남시 분당구 정자동","181","0181","0000","상록마을(보성)","전세","48.8400","202605","02","36,000","0","13","1995","정자일로 80","202605~202805","갱신","사용","36,000","0","아파트"
"104","경기도 성남시 분당구 판교동","585","0585","0000","판교원마을9단지(한림풀에버)","전세","71.8438","202605","02","75,000","0","4","2009","서판교로 29","202607~202807","신규","-","","","아파트"
"105","경기도 성남시 분당구 이매동","124","0124","0000","이매촌(한신)","월세","50.1000","202605","02","36,000","70","13","1992","서현로 181","202607~202807","신규","-","","","아파트"
"106","경기도 성남시 분당구 이매동","140","0140","0000","아름마을(풍림)","전세","134.2200","202605","02","90,000","0","6","1993","탄천로 35","202607~202807","신규","-","","","아파트"
"107","경기도 성남시 분당구 이매동","140","0140","0000","아름마을(풍림)","전세","134.2200","202605","02","90,000","0","6","1993","탄천로 35","202607~202807","신규","-","","","아파트"
"108","경기도 성남시 분당구 정자동","200","0200","0000","정든마을(1단지)(동아)","전세","101.9900","202605","01","83,000","0","1","1995","불정로 141","202608~202808","신규","-","","","아파트"
"109","경기도 성남시 분당구 정자동","125","0125","0000","상록마을(라이프2차)","월세","49.1400","202605","01","7,000","150","9","1994","정자로76번길 10","202607~202807","신규","-","","","아파트"
"110","경기도 성남시 분당구 정자동","191","0191","0000","정든마을(6단지)(한진)","월세","134.9700","202605","01","70,000","100","1","1995","내정로 24","202607~202807","신규","-","","","아파트"
"111","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","전세","39.8700","202605","01","29,400","0","5","1995","내정로 54","202605~202805","갱신","사용","28,000","0","아파트"
"112","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","월세","37.6700","202605","01","5,000","140","13","1995","내정로 54","202606~202806","신규","-","","","아파트"
"113","경기도 성남시 분당구 분당동","35","0035","0000","샛별마을(동성)","월세","59.4000","202605","01","28,000","65","2","1992","분당로 212","-","-","-","","","아파트"
"114","경기도 성남시 분당구 야탑동","162","0162","0000","목련마을(한일)","전세","50.8200","202605","01","45,000","0","6","1995","판교로 645","202607~202807","신규","-","","","아파트"
"115","경기도 성남시 분당구 야탑동","536","0536","0000","탑마을(선경)1","전세","51.8400","202605","01","50,000","0","8","1992","야탑로 20","202606~202806","신규","-","","","아파트"
"116","경기도 성남시 분당구 야탑동","334","0334","0000","장미마을(현대)","전세","41.7600","202605","01","31,500","0","9","1993","장미로 101","202606~202806","갱신","사용","30,000","0","아파트"
"117","경기도 성남시 분당구 수내동","34","0034","0000","양지마을(금호1)","월세","133.8200","202605","01","55,000","160","8","1992","수내로 74","202606~202806","신규","-","","","아파트"
"118","경기도 성남시 분당구 수내동","71","0071","0000","푸른마을(벽산)","전세","131.4000","202605","01","77,000","0","9","1992","수내로 174","202605~202805","갱신","사용","73,400","0","아파트"
"119","경기도 성남시 분당구 수내동","51","0051","0000","파크타운(대림)","월세","59.3200","202605","01","20,000","160","18","1993","내정로166번길 7-6","202606~202806","신규","-","","","아파트"
"120","경기도 성남시 분당구 이매동","116","0116","0000","이매촌(성지)","월세","101.9100","202605","01","10,000","320","15","1992","이매로 54","202606~202806","신규","-","","","아파트"
"121","경기도 성남시 분당구 이매동","140","0140","0000","아름마을(풍림)","전세","75.1500","202605","01","65,000","0","2","1993","탄천로 35","202607~202807","신규","-","","","아파트"
