"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"63","경기도 성남시 중원구 은행동","2177","2177","0000","하나빌라(2177)","49.0200","13.3100","202604","14","23,000","1","개인","개인","1996","자혜로 93","-","중개거래","경기 성남시 중원구, 서울 관악구, 서울 송파구","26.04.17"
"64","경기도 성남시 중원구 상대원동","1687-1","1687","0001","삼성베르체","67.0600","31.8700","202604","14","57,000","3","개인","개인","2015","박석로15번길 32-18","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"65","경기도 성남시 중원구 상대원동","2990-35","2990","0035","한양가든(나)동","39.8700","204.3000","202604","14","23,700","2","개인","개인","1991","희망로400번길 10-9","-","중개거래","경기 성남시 중원구","-"
"66","경기도 성남시 중원구 상대원동","1649-3","1649","0003","은마주택B동","49.5600","31.7000","202604","14","35,800","2","개인","개인","1986","둔촌대로413번길 37","-","중개거래","경기 성남시 중원구","-"
"67","경기도 성남시 중원구 성남동","2866","2866","0000","가원빌라트","73.7400","5.7344","202604","13","29,000","4","개인","개인","2000","시민로77번길 17-1","-","중개거래","경기 성남시 중원구","-"
"68","경기도 성남시 중원구 성남동","4413","4413","0000","장성2차빌라트","59.9700","42.7100","202604","13","33,800","1","개인","개인","1996","산성대로58번길 13-4","-","중개거래","경기 성남시 중원구","-"
"69","경기도 성남시 중원구 하대원동","162-4","0162","0004","삼보빌라","44.9500","21.8040","202604","12","20,800","1","개인","개인","1995","둔촌대로258번길 20","-","중개거래","경기 성남시 중원구","-"
"70","경기도 성남시 중원구 중앙동","1853","1853","0000","성우맨션","54.5550","13.3575","202604","11","29,000","5","개인","개인","2000","광명로262번길 28","-","중개거래","경기 성남시 중원구","26.04.17"
"71","경기도 성남시 중원구 은행동","2239","2239","0000","대왕주택(B)","34.0100","8.7900","202604","11","18,000","2","개인","개인","1993","은행로78번길 3-1","-","중개거래","경기 성남시 중원구","-"
"72","경기도 성남시 중원구 금광동","3312","3312","0000","(3312-0)","42.5400","28.6100","202604","11","22,000","1","개인","개인","1986","자혜로40번길 7","-","직거래","-","26.04.14"
"73","경기도 성남시 중원구 금광동","2967","2967","0000","신구빌라(다)","44.3400","30.9500","202604","11","33,000","2","개인","개인","1986","자혜로54번길 19","-","중개거래","경기 성남시 중원구","-"
"74","경기도 성남시 중원구 성남동","3478","3478","0000","하나빌라2차","42.3600","17.6700","202604","11","30,800","1","개인","개인","1993","광명로16번길 14","-","중개거래","경기 성남시 중원구","-"
"75","경기도 성남시 중원구 성남동","2865","2865","0000","동양빌라트(105동)","76.0500","36.3883","202604","10","23,000","5","개인","개인","2002","시민로77번길 17","-","직거래","-","26.04.23"
"76","경기도 성남시 중원구 금광동","3330","3330","0000","(3330-0)","43.7800","33.5200","202604","10","28,000","1","개인","개인","1986","자혜로36번길 5","-","중개거래","경기 성남시 중원구","-"
"77","경기도 성남시 중원구 은행동","2339-3","2339","0003","산호빌라(2339-3)","33.9600","8.6600","202604","10","15,800","4","개인","개인","1995","자혜로57번길 5-11","-","중개거래","경기 성남시 중원구, 서울 관악구","26.04.27"
"78","경기도 성남시 중원구 은행동","1972","1972","0000","정광빌라","42.3200","10.6800","202604","09","19,700","2","개인","법인","1992","금빛로112번길 42","-","중개거래","경기 성남시 중원구, 서울 관악구","-"
"79","경기도 성남시 중원구 하대원동","217","0217","0000","자이아트빌","49.1500","37.3100","202604","08","28,500","2","개인","개인","2007","둔촌대로363번길 16","-","중개거래","경기 성남시 중원구","-"
"80","경기도 성남시 중원구 은행동","1973","1973","0000","(1973-0)","38.1000","13.1250","202604","08","19,900","1","개인","개인","1992","은행로81번길 11-12","-","중개거래","경기 성남시 수정구, 서울 관악구","-"
"81","경기도 성남시 중원구 은행동","2431","2431","0000","로얄맨션","36.1800","104.2000","202604","08","10,000","-1","개인","개인","1994","은행로88번길 15","-","중개거래","경기 성남시 중원구","-"
"82","경기도 성남시 중원구 은행동","1238","1238","0000","남양빌라","54.3800","18.4600","202604","08","11,000","-1","개인","개인","1994","은행로45번길 8-4","-","중개거래","경기 성남시 중원구","-"
"83","경기도 성남시 중원구 상대원동","1724","1724","0000","빛나아트맨션4차","68.6600","27.0570","202604","07","47,500","4","개인","개인","2000","박석로5번길 31","-","중개거래","경기 성남시 중원구","-"
"84","경기도 성남시 중원구 은행동","1667","1667","0000","반석빌라","42.9000","10.9800","202604","07","25,000","2","개인","개인","1994","은행로3번길 4-1","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"85","경기도 성남시 중원구 은행동","2233","2233","0000","까치빌라(1차)","33.1200","8.8400","202604","06","17,700","1","개인","개인","1993","은행로78번길 1-1","-","중개거래","경기 성남시 중원구, 서울 관악구","-"
"86","경기도 성남시 중원구 성남동","3647","3647","0000","삼성아트빌","49.2400","26.7686","202604","06","31,500","4","개인","개인","2010","제일로63번길 25-3","-","중개거래","경기 성남시 중원구, 서울 성북구","-"
"87","경기도 성남시 중원구 은행동","1309-1","1309","0001","대운빌라(2차)","54.3300","13.3800","202604","06","23,500","1","개인","개인","1994","은이로 34-5","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"88","경기도 성남시 중원구 은행동","2152","2152","0000","영신빌라(8)","35.9300","10.1600","202604","06","18,900","1","개인","개인","1992","은행로87번길 11-1","-","중개거래","경기 성남시 수정구, 서울 관악구","26.04.28"
"89","경기도 성남시 중원구 금광동","2975","2975","0000","(2975-0)","39.6500","27.5000","202604","06","34,000","1","개인","개인","1986","자혜로54번길 22-1","-","중개거래","경기 성남시 중원구","-"
"90","경기도 성남시 중원구 은행동","1461","1461","0000","태화하이츠C","56.1400","14.7000","202604","06","18,000","-1","개인","개인","1994","은이로16번길 7-1","-","중개거래","경기 성남시 중원구","26.04.28"
"91","경기도 성남시 중원구 하대원동","125-8","0125","0008","주연빌","25.4500","17.2400","202604","06","14,000","4","개인","개인","2023","원터로38번길 12-1","-","직거래","-","-"
"92","경기도 성남시 중원구 상대원동","1934-1","1934","0001","골든빌리지","42.2100","14.6000","202604","05","37,500","5","개인","개인","2002","박석로15번길 46-1","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.04.24"
"93","경기도 성남시 중원구 성남동","3922-1","3922","0001","솔아트빌라(B동)","61.7200","30.8600","202604","04","35,000","3","개인","개인","2001","둔촌대로151번길 12-6","-","중개거래","경기 성남시 중원구","-"
"94","경기도 성남시 중원구 은행동","2443","2443","0000","(2443-0)","44.0200","11.3350","202604","04","19,000","3","개인","개인","1997","은행로88번길 21","-","중개거래","경기 성남시 중원구, 서울 관악구","26.04.22"
"95","경기도 성남시 중원구 은행동","1973-3","1973","0003","녹원하이츠(16차)","36.3500","10.4100","202604","04","17,400","1","개인","개인","1993","은행로81번길 13-9","-","중개거래","경기 성남시 중원구, 서울 관악구","26.04.20"
"96","경기도 성남시 중원구 금광동","2993","2993","0000","한영빌라(가)","47.4900","17.1400","202604","04","37,900","2","개인","개인","1991","금빛로85번길 13","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"97","경기도 성남시 중원구 금광동","2926","2926","0000","그린빌라","58.9500","32.0700","202604","04","32,000","1","개인","개인","1995","자혜로48번길 14","-","중개거래","경기 성남시 중원구","26.04.27"
"98","경기도 성남시 중원구 은행동","1930","1930","0000","장미빌라","54.3300","14.1800","202604","04","21,000","2","개인","법인","1994","자혜로17번길 40-6","-","중개거래","경기 성남시 수정구","-"
"99","경기도 성남시 중원구 성남동","4368","4368","0000","동호맨션","59.4400","34.4000","202604","04","26,000","-1","개인","개인","2001","성남대로1151번길 20-9","-","직거래","-","26.04.15"
"100","경기도 성남시 중원구 중앙동","2061","2061","0000","기단아트빌라","57.9500","15.5400","202604","04","28,000","2","개인","개인","1994","광명로256번길 47-67","-","중개거래","서울 서초구","26.04.30"
"101","경기도 성남시 중원구 은행동","552","0552","0000","삼성아트빌(552)","71.1250","38.9469","202604","03","43,000","4","개인","개인","2007","순환로447번길 4","-","중개거래","경기 성남시 중원구","-"
"102","경기도 성남시 중원구 금광동","3200","3200","0000","신우빌라(B)","36.3900","24.5000","202604","03","36,500","1","개인","개인","1987","금빛로69번길 23","-","중개거래","경기 성남시 중원구","-"
"103","경기도 성남시 중원구 은행동","1027-6","1027","0006","유성빌라","41.2700","28.9900","202604","02","40,000","1","개인","개인","1990","은이로23번길 13-1","-","중개거래","경기 성남시 수정구","-"
"104","경기도 성남시 중원구 은행동","2387","2387","0000","동일빌라(2차)","42.2800","11.0700","202604","02","17,000","4","개인","개인","1994","은행로88번길 3-1","-","직거래","-","26.04.27"
