"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"72","경기도 성남시 분당구 분당동","1**","다가구","25m미만","371.14","196.10","202507","23","167,500","개인","개인","2001","장안로16번길","-","중개거래","경기 성남시 분당구"
"73","경기도 성남시 분당구 정자동","2**","다가구","12m미만","431.72","216.30","202507","17","154,000","개인","개인","1997","불곡북로21번길","-","중개거래","경기 성남시 분당구"
"74","경기도 성남시 분당구 구미동","5*","다가구","8m미만","452.64","228.20","202507","07","183,500","개인","개인","2000","미금일로80번길","-","중개거래","경기 성남시 분당구"
"75","경기도 성남시 분당구 수내동","1**","다가구","8m미만","409.92","206.40","202506","30","80,000","개인","개인","1996","발이봉남로35번길","-","직거래","-"
"76","경기도 성남시 분당구 야탑동","3**","다가구","25m미만","457.60","231.10","202506","30","142,000","개인","개인","1994","벌말로39번길","-","직거래","-"
"77","경기도 성남시 분당구 대장동","5**","단독","8m미만","210.57","218.00","202506","23","70,000","개인","개인","2004","벌장투리로24번길","-","직거래","-"
"78","경기도 성남시 분당구 야탑동","3**","단독","12m미만","438.12","226.80","202506","20","184,000","개인","개인","1995","야탑로111번길","-","중개거래","경기 성남시 분당구"
"79","경기도 성남시 분당구 정자동","1**","다가구","8m미만","458.63","230.00","202506","17","182,000","개인","기타","1997","불정로65번길","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구"
"80","경기도 성남시 분당구 판교동","6**","단독","12m미만","200.48","224.90","202506","17","227,000","개인","개인","2014","서판교로6번길","-","중개거래","경기 성남시 분당구"
"81","경기도 성남시 분당구 운중동","1***","단독","12m미만","248.88","254.80","202506","12","220,000","개인","개인","2012","운중로197번길","-","중개거래","경기 성남시 분당구"
"82","경기도 성남시 분당구 이매동","2**","단독","8m미만","46.87","238.00","202506","11","95,000","개인","개인","2022","이매로89번길","-","중개거래","경기 성남시 분당구"
"83","경기도 성남시 분당구 운중동","1***","단독","12m미만","207.17","231.70","202506","06","280,000","개인","개인","2012","","-","중개거래","경기 성남시 분당구"
"84","경기도 성남시 분당구 수내동","1**","다가구","8m미만","418.40","215.70","202506","05","148,000","개인","개인","1996","발이봉북로24번길","-","중개거래","경기 성남시 분당구"
"85","경기도 성남시 분당구 야탑동","3**","다가구","25m미만","443.18","231.30","202506","05","160,000","개인","개인","1996","벌말로39번길","-","중개거래","경기 성남시 분당구"
"86","경기도 성남시 분당구 분당동","1**","다가구","8m미만","417.08","220.50","202506","02","150,000","개인","개인","1998","서현로429번길","-","중개거래","경기 성남시 분당구"
"87","경기도 성남시 분당구 분당동","1**","다가구","12m미만","449.52","225.90","202505","30","139,500","개인","개인","1995","서현로429번길","-","중개거래","경기 성남시 분당구"
"88","경기도 성남시 분당구 운중동","1***","단독","25m미만","272.29","230.20","202505","21","285,000","개인","개인","2015","운중로166번길","-","중개거래","경기 성남시 분당구"
"89","경기도 성남시 분당구 수내동","9*","단독","8m미만","393.26","197.80","202505","16","136,000","개인","개인","1994","발이봉로11번길","-","중개거래","경기 성남시 분당구"
