"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"62","경기도 성남시 수정구 신흥동","2563","2563","0000","더하우스 스테이션Ⅱ","65.6700","202601","23","38,000","16","개인","개인","2020","공원로339번길 17","-","중개거래","경기 성남시 수정구"
"63","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","25.7700","202601","23","20,500","12","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"64","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","31.3200","202601","22","10,000","8","개인","개인","1992","산성대로 331","-","직거래","-"
"65","경기도 성남시 수정구 신흥동","2506","2506","0000","The Zen City 오피스텔","75.3500","202601","21","53,500","16","개인","개인","2023","산성대로269번길 6-8","-","중개거래","경기 성남시 수정구"
"66","경기도 성남시 수정구 신흥동","3443","3443","0000","네이처빌","84.9000","202601","20","37,500","5","개인","개인","2017","수정남로144번길 4","-","중개거래","경기 성남시 수정구"
"67","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","45.7700","202601","19","45,000","17","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"68","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","41.6300","202601","17","35,000","15","개인","개인","2018","위례광장로 21-9","-","중개거래","경기 성남시 수정구"
"69","경기도 성남시 수정구 신흥동","3441","3441","0000","프라임시티","83.6900","202601","17","39,000","5","개인","개인","2017","수정남로144번길 6","-","중개거래","경기 성남시 수정구"
"70","경기도 성남시 수정구 태평동","6524","6524","0000","코지팰리스","68.4900","202601","17","48,600","6","개인","개인","2020","성남대로 1246","-","중개거래","경기 성남시 수정구"
"71","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202601","17","21,500","18","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
