"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"85","경기도 성남시 중원구 성남동","3135","3135","0000","지앤느 모란","21.4200","202601","31","15,000","6","개인","개인","2020","산성대로 136","-","중개거래","경기 성남시 중원구"
"86","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","20.3867","202601","28","15,250","8","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구, 서울 송파구"
"87","경기도 성남시 중원구 도촌동","573","0573","0000","리아체","84.8400","202601","27","43,000","3","개인","개인","2016","도촌로8번길 24","-","중개거래","경기 성남시 중원구"
"88","경기도 성남시 중원구 성남동","2331","2331","0000","(2331)","84.7500","202601","27","52,500","4","개인","개인","2023","제일로74번길 21","-","직거래","-"
"89","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","45.8700","202601","24","25,200","10","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 중원구"
"90","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","22.1700","202601","22","14,800","9","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 중원구"
"91","경기도 성남시 중원구 도촌동","573","0573","0000","리아체","83.9200","202601","21","42,000","7","개인","개인","2016","도촌로8번길 24","-","중개거래","경기 성남시 중원구, 서울 송파구"
"92","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.9531","202601","21","15,000","3","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"93","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","37.6200","202601","17","12,000","5","개인","개인","1999","광명로 71","-","중개거래","경기 성남시 중원구"
"94","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","37.6200","202601","17","11,700","5","개인","개인","1999","광명로 71","-","중개거래","경기 성남시 중원구"
"95","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","36.9300","202601","17","20,400","8","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 중원구"
"96","경기도 성남시 중원구 성남동","2759","2759","0000","미래타운","79.5200","202601","17","51,500","14","개인","개인","2019","광명로142번길 3","-","중개거래","경기 성남시 중원구"
"97","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","52.7978","202601","15","31,800","2","개인","개인","2020","광명로 67","-","중개거래","경기 성남시 중원구"
"98","경기도 성남시 중원구 성남동","2264","2264","0000","성남 모란 지웰에스테이트","52.7978","202601","15","31,800","2","개인","개인","2020","광명로 67","20260209","중개거래","경기 성남시 중원구"
"99","경기도 성남시 중원구 성남동","4938","4938","0000","레이나 오피스텔","22.2600","202601","15","15,000","6","개인","개인","2019","둔촌대로80번길 3-11","-","직거래","-"
"100","경기도 성남시 중원구 도촌동","573","0573","0000","리아체","83.9200","202601","15","40,000","2","개인","개인","2016","도촌로8번길 24","-","중개거래","경기 성남시 중원구"
"101","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202601","12","16,700","9","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"102","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202601","12","16,500","6","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
