"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"91","경기도 성남시 분당구 서현동","174","0174","0000","더포레서현(1동2동)","49.4200","49.8064","202601","28","62,000","1","개인","개인","2021","안골로 55","-","직거래","-","26.02.24"
"92","경기도 성남시 분당구 구미동","118","0118","0000","시네하우스21","193.8000","243.4400","202601","27","157,000","2","개인","개인","2000","금곡로 57","-","중개거래","경기 성남시 분당구","26.03.16"
"93","경기도 성남시 분당구 분당동","113","0113","0000","장안타운(건영빌라)","84.8400","96.2200","202601","27","158,000","1","개인","개인","1995","서현로 471","-","중개거래","경기 성남시 분당구","26.04.23"
"94","경기도 성남시 분당구 운중동","987","0987","0000","산운마을7단지(휴먼시아연립)","151.3000","284.5600","202601","27","334,000","2","개인","개인","2010","산운로 135","-","중개거래","경기 성남시 분당구","26.04.02"
"95","경기도 성남시 분당구 구미동","287","0287","0000","다원빌리지","188.8100","230.0800","202601","27","147,500","2","개인","개인","1997","구미로173번길 10","-","중개거래","경기 성남시 분당구","26.03.06"
"96","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202601","26","100,000","4","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","26.03.13"
"97","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","59.9300","71.7241","202601","26","143,500","2","개인","개인","1995","미금일로 122","-","중개거래","경기 성남시 분당구","26.04.28"
"98","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","59.9300","71.7241","202601","26","143,500","2","개인","개인","1995","미금일로 122","20260304","중개거래","경기 성남시 분당구","-"
"99","경기도 성남시 분당구 분당동","52","0052","0000","청구빌라2","199.5800","236.8300","202601","24","159,000","3","개인","개인","1995","예원로 23","20260504","중개거래","경기 성남시 분당구","-"
"100","경기도 성남시 분당구 야탑동","270","0270","0000","매화마을화성빌리지","84.8500","96.9680","202601","23","130,000","3","개인","개인","1994","벌말로50번길 14","-","중개거래","경기 성남시 분당구","26.04.30"
"101","경기도 성남시 분당구 이매동","10-20","0010","0020","동양파크빌104동","71.2100","74.4700","202601","23","68,500","3","개인","개인","2004","방아로29번길 5","20260320","중개거래","경기 성남시 분당구","-"
"102","경기도 성남시 분당구 이매동","10-20","0010","0020","동양파크빌104동","71.2100","74.4700","202601","23","68,500","3","개인","개인","2004","방아로29번길 5","-","중개거래","경기 성남시 분당구","-"
"103","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202601","22","94,000","1","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","26.03.04"
"104","경기도 성남시 분당구 궁내동","350-8","0350","0008","샤인빌A동","74.2650","66.5000","202601","22","47,500","2","개인","개인","2003","궁내로 48","-","중개거래","경기 성남시 분당구","26.03.20"
"105","경기도 성남시 분당구 야탑동","173","0173","0000","대원빌라(1단지)","57.9750","65.3720","202601","21","104,000","2","개인","개인","1994","야탑로245번길 11","-","중개거래","경기 성남시 분당구","26.01.30"
"106","경기도 성남시 분당구 야탑동","173","0173","0000","대원빌라(1단지)","57.9750","65.3720","202601","21","104,000","2","개인","개인","1994","야탑로245번길 11","20260127","중개거래","경기 성남시 분당구","-"
"107","경기도 성남시 분당구 구미동","13","0013","0000","까치마을건영빌라6단지","59.8800","71.6643","202601","20","141,500","1","개인","개인","1995","미금일로 122","-","중개거래","경기 성남시 분당구","-"
"108","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202601","20","114,700","1","개인","개인","1994","야탑로271번길 28","-","중개거래","경기 성남시 분당구, 서울 강남구","26.02.19"
"109","경기도 성남시 분당구 서현동","208-5","0208","0005","서현로얄파크빌(207동)","61.2200","66.1000","202601","20","54,500","2","개인","개인","2004","안골로11번길 17-7","20260213","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"110","경기도 성남시 분당구 대장동","571-31","0571","0031","써밋스페이스","56.8980","67.1535","202601","20","33,000","2","개인","법인","2016","벌장투리로23번길 2-6","-","중개거래","경기 용인시 수지구","26.04.14"
"111","경기도 성남시 분당구 궁내동","340-3","0340","0003","블리시움Ⅱ","57.0500","70.0830","202601","20","54,000","1","개인","개인","2023","궁내로40번길 19-1","-","직거래","-","-"
"112","경기도 성남시 분당구 정자동","29","0029","0000","느티마을경남","164.8400","204.2600","202601","20","270,000","1","개인","개인","1995","황새울로132번길 27","-","중개거래","경기 성남시 분당구, 경기 용인시 기흥구","-"
"113","경기도 성남시 분당구 서현동","208-5","0208","0005","서현로얄파크빌(207동)","61.2200","66.1000","202601","20","54,500","2","개인","개인","2004","안골로11번길 17-7","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","26.04.06"
"114","경기도 성남시 분당구 궁내동","340-3","0340","0003","블리시움Ⅱ","55.8600","68.6220","202601","20","52,000","1","개인","개인","2023","궁내로40번길 19-1","-","직거래","-","26.02.10"
"115","경기도 성남시 분당구 구미동","12","0012","0000","까치마을건영빌라5단지","59.9300","70.6904","202601","19","145,800","2","개인","개인","1995","미금일로 136","-","중개거래","경기 성남시 분당구","26.05.07"
"116","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202601","19","114,500","3","개인","개인","1994","야탑로271번길 28","-","중개거래","경기 성남시 분당구","26.03.20"
"117","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202601","18","99,000","3","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","26.04.28"
"118","경기도 성남시 분당구 야탑동","266","0266","0000","매화마을동신빌라","59.9850","70.9200","202601","18","109,000","3","개인","개인","1995","벌말로30번길 12","-","중개거래","경기 성남시 분당구","26.04.29"
