"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"49","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","108.8100","202604","20","92,000","-","11","개인","개인","2003","둔촌대로 300","-","중개거래","경기 성남시 중원구","-"
"50","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","84.6300","202604","20","82,500","-","13","개인","개인","1995","자혜로17번길 16","-","중개거래","경기 성남시 중원구","-"
"51","경기도 성남시 중원구 성남동","4031","4031","0000","한빛스위티","80.8500","202604","20","50,000","-","5","개인","개인","2005","성남대로1130번길 26","-","직거래","-","-"
"52","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","118.6200","202604","19","87,000","-","17","개인","개인","2003","둔촌대로 300","-","중개거래","경기 성남시 중원구","-"
"53","경기도 성남시 중원구 여수동","600","0600","0000","센트럴타운(3단지)","74.9500","202604","19","129,000","-","14","개인","개인","2012","성남대로 1000","-","중개거래","경기 성남시 중원구, 경기 용인시 수지구","-"
"54","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","19","49,800","-","8","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"55","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","83.7700","202604","19","85,000","-","9","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"56","경기도 성남시 중원구 금광동","3950","3950","0000","삼익금광1차","34.0500","202604","18","33,400","-","10","개인","개인","1991","자혜로16번길 9","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"57","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","18","45,000","-","13","개인","개인","1994","금상로 134","-","직거래","-","-"
"58","경기도 성남시 중원구 상대원동","178-6","0178","0006","일성","67.6800","202604","18","29,000","-","9","개인","개인","1993","순환로198번길 12","-","중개거래","경기 성남시 중원구","-"
"59","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","51.5300","202604","18","89,000","-","2","개인","개인","2015","여수울로 51","-","중개거래","경기 성남시 중원구","-"
"60","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","59.9400","202604","18","112,000","-","12","개인","개인","2015","여수울로 51","-","중개거래","경기 성남시 중원구","-"
"61","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","51.9300","202604","18","88,000","-","12","개인","개인","2015","여수울로 51","-","중개거래","경기 성남시 중원구","-"
"62","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","59.9800","202604","18","103,000","-","4","개인","개인","2023","금광로 40","-","중개거래","경기 성남시 중원구","-"
"63","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","59.9800","202604","18","100,000","-","15","개인","개인","2023","금광로 72","-","중개거래","경기 성남시 중원구","-"
"64","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","59.9500","202604","18","105,000","-","13","개인","개인","2023","금광로 40","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"65","경기도 성남시 중원구 중앙동","578","0578","0000","중앙동힐스테이트1차","84.9800","202604","18","112,000","-","5","개인","개인","2012","시민로66번길 21","-","중개거래","경기 성남시 중원구","-"
"66","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","118.6200","202604","18","85,000","-","11","개인","개인","2003","둔촌대로 300","-","중개거래","경기 성남시 중원구","-"
"67","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","84.6300","202604","18","89,000","-","7","개인","개인","1995","자혜로17번길 16","-","중개거래","경기 성남시 중원구","-"
"68","경기도 성남시 중원구 금광동","1016","1016","0000","e편한세상금빛그랑메종4단지","59.9800","202604","17","80,000","-","23","개인","개인","2023","금광로 71","-","직거래","-","-"
"69","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","84.5600","202604","17","113,000","-","22","개인","개인","2023","금광로 72","-","중개거래","경기 성남시 중원구, 서울 송파구","-"
"70","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","54.9000","202604","17","69,000","-","1","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구, 서울 송파구","-"
"71","경기도 성남시 중원구 상대원동","174","0174","0000","산성","84.9600","202604","17","47,500","-","15","개인","개인","1997","사기막골로150번길 10","-","중개거래","경기 성남시 중원구","-"
"72","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","17","50,000","-","7","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"73","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","75.2400","202604","17","80,000","-","7","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"74","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","59.9500","202604","16","101,000","-","14","개인","개인","2023","금광로 72","-","중개거래","경기 성남시 중원구","-"
"75","경기도 성남시 중원구 여수동","601","0601","0000","연꽃마을(4단지)","120.9700","202604","16","149,500","-","13","개인","개인","2012","여수울로 50","-","중개거래","경기 성남시 중원구","-"
