"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"89","경기도 성남시 중원구 금광동","4***","8m미만","39.60","전세","202604","20","12,000","0","1990","산성대로470번길","202605~202805","신규","-","","","단독다가구"
"90","경기도 성남시 중원구 여수동","3**","12m미만","20.00","월세","202604","20","1,000","45","2010","성남대로997번길","202606~202806","신규","-","","","단독다가구"
"91","경기도 성남시 중원구 상대원동","2***","8m미만","30.00","월세","202604","20","1,000","32","1994","박석로93번길","202606~202806","신규","-","","","단독다가구"
"92","경기도 성남시 중원구 은행동","6**","8m미만","47.00","월세","202604","20","2,000","70","2001","산성대로576번길","202607~202807","신규","-","","","단독다가구"
"93","경기도 성남시 중원구 은행동","8**","8m미만","41.89","월세","202604","20","1,000","60","1992","은이로63번길","202605~202805","신규","-","","","단독다가구"
"94","경기도 성남시 중원구 상대원동","1***","8m미만","57.44","전세","202604","20","10,375","0","1988","박석로41번길","202604~202804","신규","-","","","단독다가구"
"95","경기도 성남시 중원구 금광동","3***","12m미만","65.00","전세","202604","19","25,000","0","1991","광명로361번길","202606~202806","신규","-","","","단독다가구"
"96","경기도 성남시 중원구 금광동","3***","12m미만","18.00","월세","202604","19","2,000","35","2011","산성대로396번길","202604~202804","갱신","-","1,000","40","단독다가구"
"97","경기도 성남시 중원구 도촌동","5**","25m미만","89.79","월세","202604","19","3,000","145","2008","도촌로","202606~202806","갱신","사용","3,000","140","단독다가구"
"98","경기도 성남시 중원구 상대원동","1***","8m미만","80.26","전세","202604","19","8,000","0","1993","둔촌대로425번길","202605~202805","신규","-","","","단독다가구"
"99","경기도 성남시 중원구 도촌동","5**","25m미만","89.79","월세","202604","19","3,000","130","2008","도촌로","202605~202805","갱신","-","3,000","122","단독다가구"
"100","경기도 성남시 중원구 은행동","5**","8m미만","39.38","전세","202604","19","8,000","0","1991","순환로457번길","202604~202804","갱신","-","8,000","0","단독다가구"
"101","경기도 성남시 중원구 성남동","4***","8m미만","35.00","월세","202604","19","8,600","15","2001","산성대로68번길","202604~202804","갱신","사용","8,600","15","단독다가구"
"102","경기도 성남시 중원구 은행동","2***","8m미만","112.20","전세","202604","18","7,000","0","1989","자혜로57번길","202605~202805","신규","-","","","단독다가구"
