"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"87","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9826","202604","11","122,000","-","4","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"88","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202604","11","124,100","-","8","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"89","경기도 성남시 수정구 고등동","592","0592","0000","판교밸리호반써밋","84.9872","202604","11","120,000","210동","6","개인","개인","2019","고등로 34","-","중개거래","경기 성남시 수정구","26.04.17"
"90","경기도 성남시 수정구 단대동","100","0100","0000","단대푸르지오","114.8900","202604","11","125,000","-","17","개인","개인","2012","산성대로437번길 7","-","중개거래","경기 성남시 수정구","-"
"91","경기도 성남시 수정구 태평동","7342","7342","0000","가천대역쌍용스윗닷홈","84.7957","202604","11","79,000","-","4","개인","개인","2005","태평로 9","-","직거래","-","-"
"92","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9800","202604","11","148,000","-","7","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"93","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","74.9600","202604","11","140,000","-","17","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"94","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","67.8600","202604","11","133,000","-","24","개인","개인","2020","수정로 319","-","중개거래","경기 성남시 수정구","-"
"95","경기도 성남시 수정구 신흥동","2024","2024","0000","두산","84.4700","202604","11","82,300","-","14","개인","개인","1993","공원로 360","-","중개거래","경기 성남시 중원구","-"
"96","경기도 성남시 수정구 태평동","7346","7346","0000","가천대역두산위브","59.9592","202604","10","71,500","-","2","개인","개인","2018","태평로 65","-","중개거래","경기 성남시 수정구","-"
