"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"73","경기도 성남시 수정구 단대동","16-3","0016","0003","신안빌라","38.0000","9.4500","202603","15","21,000","2","개인","개인","1994","논골로65번길 2","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.03.31"
"74","경기도 성남시 수정구 산성동","637","0637","0000","금오타운C동","57.6000","24.0500","202603","14","45,500","5","개인","개인","2006","수정남로316번길 4","-","중개거래","경기 성남시 수정구","-"
"75","경기도 성남시 수정구 단대동","29-7","0029","0007","한성빌라12차","41.3200","10.8800","202603","13","18,800","1","개인","개인","1994","논골로53번길 6-4","-","중개거래","경기 성남시 중원구","26.03.26"
"76","경기도 성남시 수정구 태평동","3582","3582","0000","더원팰리스","67.1500","46.3600","202603","13","47,300","4","개인","개인","2023","수정로135번길 17-5","-","직거래","-","26.04.15"
"77","경기도 성남시 수정구 태평동","7318-8","7318","0008","궁전빌라","48.3800","21.2400","202603","12","15,300","2","개인","개인","1993","시민로198번길 3-3","-","중개거래","경기 성남시 수정구","26.03.16"
"78","경기도 성남시 수정구 양지동","455","0455","0000","송학맨션","59.9800","27.7700","202603","12","34,000","1","개인","개인","2001","양지로 41","-","중개거래","경기 성남시 수정구","26.03.17"
"79","경기도 성남시 수정구 양지동","598","0598","0000","대보빌라","54.7200","22.7900","202603","11","13,000","-1","개인","개인","1994","산성대로515번길 13","-","직거래","-","26.03.11"
"80","경기도 성남시 수정구 수진동","247","0247","0000","(247-0)","34.1400","19.8740","202603","10","65,000","4","개인","개인","2000","수정남로52번길 11-2","-","중개거래","경기 성남시 수정구","26.04.14"
"81","경기도 성남시 수정구 단대동","29-4","0029","0004","한강빌라(2차)","42.1200","10.4800","202603","09","23,000","2","개인","개인","1993","논골로53번길 4-3","-","중개거래","경기 성남시 중원구","-"
"82","경기도 성남시 수정구 태평동","7319-1","7319","0001","잉꼬빌라","44.1600","20.4500","202603","09","15,975","-1","기타","개인","1993","시민로198번길 3-12","-","직거래","-","-"
"83","경기도 성남시 수정구 단대동","167-6","0167","0006","스카이뷰","52.5681","28.8859","202603","09","46,000","5","개인","개인","2017","희망로482번길 18","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","26.04.03"
"84","경기도 성남시 수정구 신흥동","5118","5118","0000","(5118-0)","24.4800","19.9900","202603","07","68,000","3","개인","개인","2007","시민로163번길 11","-","중개거래","경기 성남시 수정구","-"
"85","경기도 성남시 수정구 수진동","2943","2943","0000","대성맨션(2943)","75.7700","31.3200","202603","07","32,000","5","개인","개인","2001","제일로157번길 4","-","중개거래","경기 성남시 수정구","-"
"86","경기도 성남시 수정구 수진동","2679-6","2679","0006","예건(2679-6)","42.2000","25.5000","202603","07","76,000","3","개인","개인","2007","산성대로 153","-","중개거래","경기 성남시 수정구","26.04.14"
"87","경기도 성남시 수정구 산성동","46","0046","0000","민영맨션","52.4000","22.6750","202603","07","38,300","5","개인","개인","2007","수정로456번길 48-1","-","중개거래","경기 성남시 수정구","26.04.10"
"88","경기도 성남시 수정구 신흥동","3305","3305","0000","민성아이빌(B동)","57.2500","33.6100","202603","07","75,000","3","개인","개인","2002","수정남로176번길 3","-","중개거래","경기 성남시 분당구, 경기 성남시 수정구","-"
"89","경기도 성남시 수정구 사송동","575-2","0575","0002","라비앙하우스","59.9500","69.4880","202603","07","55,500","2","개인","개인","2023","사송로46번길 11","-","직거래","-","26.03.30"
"90","경기도 성남시 수정구 태평동","6944-4","6944","0004","대영아트빌라","57.5000","25.8460","202603","07","30,350","3","개인","개인","1991","성남대로1237번길 11","-","중개거래","경기 성남시 수정구","26.04.24"
"91","경기도 성남시 수정구 태평동","7219-1","7219","0001","세월다세대(1호)","74.9800","47.3000","202603","07","30,700","1","개인","개인","1987","모란로87번길 8-2","-","중개거래","경기 성남시 수정구","26.04.10"
"92","경기도 성남시 수정구 수진동","2679-14","2679","0014","(2679-14)","33.8700","17.2400","202603","06","54,000","-1","개인","개인","1991","산성대로149번길 3","-","중개거래","경기 성남시 수정구","26.04.27"
"93","경기도 성남시 수정구 태평동","3540-9","3540","0009","현대빌라","37.9350","32.6700","202603","06","20,450","2","개인","개인","1986","탄리로85번길 3-1","-","중개거래","경기 성남시 수정구","-"
"94","경기도 성남시 수정구 태평동","519","0519","0000","(519-0)","37.0750","14.5800","202603","05","25,700","5","개인","개인","2001","태평로 70","-","중개거래","경기 성남시 수정구","26.04.03"
"95","경기도 성남시 수정구 단대동","15-4","0015","0004","덕원빌라((A동)","37.7200","9.5000","202603","05","17,000","3","개인","개인","1994","논골로67번길 3-1","-","중개거래","서울 양천구","26.03.24"
"96","경기도 성남시 수정구 단대동","15-4","0015","0004","덕원빌라((A동)","37.7200","9.5000","202603","05","17,000","3","개인","개인","1994","논골로67번길 3-1","-","중개거래","서울 양천구","26.03.24"
"97","경기도 성남시 수정구 태평동","3705-2","3705","0002","중앙빌라","46.3800","22.4400","202603","05","24,700","1","개인","개인","1990","수정북로21번길 16-1","-","중개거래","경기 성남시 수정구","-"
"98","경기도 성남시 수정구 산성동","470","0470","0000","반석빌라(470-0)","57.1500","14.0000","202603","04","30,000","3","개인","개인","1997","수정남로326번길 12-6","-","중개거래","경기 성남시 중원구","26.04.15"
"99","경기도 성남시 수정구 양지동","521","0521","0000","모아맨션(A동)","75.2000","32.8100","202603","04","38,000","4","개인","개인","2002","산성대로515번길 6-12","-","중개거래","경기 성남시 수정구","26.03.13"
"100","경기도 성남시 수정구 수진동","3038","3038","0000","개나리빌라","42.6400","19.4800","202603","04","25,000","2","개인","개인","1992","수정로74번길 16","-","중개거래","경기 성남시 수정구","26.04.22"
"101","경기도 성남시 수정구 태평동","7254-1","7254","0001","삼보빌라(가,나동)","59.4800","29.9780","202603","03","14,000","-1","개인","개인","1994","수정로 39","-","직거래","-","26.03.03"
"102","경기도 성남시 수정구 수진동","2056","2056","0000","(2056-0)","46.7400","28.7000","202602","28","70,000","3","개인","개인","1988","산성대로187번길 12","-","중개거래","경기 성남시 수정구","26.03.30"
"103","경기도 성남시 수정구 양지동","222","0222","0000","연홍채","60.0600","18.7287","202602","28","45,000","9","개인","개인","2019","산성대로539번길 3-5","-","중개거래","경기 성남시 중원구","-"
"104","경기도 성남시 수정구 신흥동","2647","2647","0000","상남그린맨션","44.1200","20.0760","202602","27","65,000","4","개인","개인","1998","공원로349번길 31","-","중개거래","경기 성남시 수정구","-"
"105","경기도 성남시 수정구 태평동","3469-2","3469","0002","(3469-2)","38.9200","33.3100","202602","26","20,000","2","개인","개인","1986","탄리로96번길 4-1","-","중개거래","경기 성남시 수정구","26.03.27"
"106","경기도 성남시 수정구 단대동","49-8","0049","0008","대원빌라","44.9200","11.2400","202602","26","10,000","-1","개인","개인","1993","논골로47번길 4-5","-","중개거래","경기 성남시 수정구","26.03.03"
"107","경기도 성남시 수정구 태평동","3276","3276","0000","허브빌리지","53.2800","21.8200","202602","25","14,000","-1","개인","개인","2001","남문로86번길 5","-","중개거래","경기 성남시 수정구","-"
"108","경기도 성남시 수정구 단대동","185-14","0185","0014","삼보주택(C동)","44.9600","24.8720","202602","25","18,200","-1","개인","개인","1991","산성대로383번길 27","-","직거래","-","26.04.10"
"109","경기도 성남시 수정구 양지동","524","0524","0000","영광빌라","59.9300","34.5500","202602","25","25,000","3","개인","개인","1995","산성대로527번길 5-7","-","중개거래","경기 성남시 중원구","26.04.20"
"110","경기도 성남시 수정구 수진동","4762-5","4762","0005","다주맨션(가동)","59.5800","31.5000","202602","24","36,000","2","개인","개인","2002","산성대로 65-6","-","중개거래","경기 성남시 수정구","-"
"111","경기도 성남시 수정구 수진동","4762-5","4762","0005","다주맨션(가동)","59.5800","13.3000","202602","24","36,000","2","개인","개인","2002","산성대로 65-6","-","중개거래","경기 성남시 수정구","-"
"112","경기도 성남시 수정구 신흥동","3394","3394","0000","베네스트(102동)","71.3800","25.3953","202602","23","45,000","3","개인","개인","2016","수정남로 171","-","중개거래","경기 성남시 수정구","26.04.02"
"113","경기도 성남시 수정구 단대동","37-4","0037","0004","서신빌라","42.8400","10.8760","202602","23","18,700","2","개인","개인","1995","논골로53번길 20-1","-","중개거래","경기 성남시 수정구","26.04.07"
"114","경기도 성남시 수정구 태평동","3539","3539","0000","롯데빌리지","58.8700","36.0780","202602","22","43,250","4","개인","개인","2012","탄리로85번길 7","-","중개거래","경기 성남시 수정구","26.04.06"
"115","경기도 성남시 수정구 신흥동","3419-1","3419","0001","수정빌라(1동)","43.5600","25.8800","202602","21","28,000","2","개인","개인","1986","공원로391번길 18","-","중개거래","경기 성남시 수정구","26.03.30"
"116","경기도 성남시 수정구 단대동","29-5","0029","0005","한강빌라1차","41.7850","10.5500","202602","20","23,000","4","개인","개인","1993","논골로53번길 4","-","중개거래","서울 송파구","26.03.31"
"117","경기도 성남시 수정구 태평동","3209","3209","0000","더클래식","45.0500","31.5100","202602","20","41,500","4","개인","개인","2018","남문로78번길 6","-","중개거래","경기 성남시 수정구","-"
