"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"74","경기도 성남시 분당구 정자동","165-1","0165","0001","정자역 엠코헤리츠 1단지","25.3600","202604","11","21,900","5","개인","개인","2014","정자일로 146","-","중개거래","경기 성남시 분당구"
"75","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","29.7300","202604","11","22,700","9","개인","개인","2014","정자일로 136","-","중개거래","경기 성남시 분당구"
"76","경기도 성남시 분당구 구미동","9-1","0009","0001","분당 엠코 헤리츠","42.3600","202604","10","43,000","4","개인","개인","2014","성남대로 151","-","중개거래","경기 성남시 분당구"
"77","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","50.6300","202604","10","35,000","11","개인","개인","2004","백현로 105","-","중개거래","경기 성남시 분당구"
"78","경기도 성남시 분당구 정자동","154-1","0154","0001","타임브릿지","148.2900","202604","10","187,000","31","개인","개인","2006","정자일로156번길 12","-","중개거래","경기 성남시 분당구"
"79","경기도 성남시 분당구 정자동","215","0215","0000","더샵 분당파크리버","84.9688","202604","10","83,000","11","개인","개인","2021","돌마로 171","-","중개거래","경기 성남시 분당구"
"80","경기도 성남시 분당구 수내동","4-3","0004","0003","두산위브센티움 2","41.7600","202604","10","24,700","9","개인","개인","2003","수내로 42","-","중개거래","경기 성남시 분당구"
"81","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","40.0000","202604","10","23,800","12","법인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"82","경기도 성남시 분당구 야탑동","342-2","0342","0002","르네상스분당오피스텔","51.3900","202604","10","30,800","3","개인","개인","2003","장미로48번길 10","-","중개거래","경기 성남시 분당구"
"83","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","35.6300","202604","10","17,300","6","개인","개인","2004","성남대로 51","-","중개거래","경기 성남시 분당구"
"84","경기도 성남시 분당구 백현동","540","0540","0000","힐스테이트 판교역(7-1BL)","84.9500","202604","09","138,500","13","개인","개인","2022","판교역로 136","-","중개거래","경기 성남시 분당구"
"85","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","40.0000","202604","09","22,000","9","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"86","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","80.0000","202604","09","48,500","15","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"87","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","80.0000","202604","08","53,200","15","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"88","경기도 성남시 분당구 서현동","251-3","0251","0003","엘지분당에클라트","45.0100","202604","08","23,600","5","개인","개인","2004","서현로 184","-","중개거래","경기 성남시 분당구"
"89","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","33.1200","202604","08","21,000","29","개인","개인","2004","정자일로 177","-","중개거래","경기 성남시 분당구"
"90","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","29.7300","202604","08","23,500","8","개인","개인","2014","정자일로 136","-","중개거래","경기 성남시 분당구"
"91","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","29.7300","202604","08","23,000","4","개인","개인","2014","정자일로 136","-","중개거래","경기 성남시 분당구"
"92","경기도 성남시 분당구 정자동","165-1","0165","0001","정자역 엠코헤리츠 1단지","29.7300","202604","08","23,000","4","개인","개인","2014","정자일로 146","-","중개거래","경기 성남시 분당구"
"93","경기도 성남시 분당구 야탑동","360-1","0360","0001","시그마 3","28.6500","202604","08","17,500","7","개인","개인","2003","장미로 78","-","중개거래","경기 성남시 분당구"
"94","경기도 성남시 분당구 야탑동","513-3","0513","0003","라비앙오피스텔 분당","32.5600","202604","08","15,000","6","법인","개인","2004","성남대로 884-9","-","중개거래","경기 성남시 분당구"
"95","경기도 성남시 분당구 수내동","16-4","0016","0004","삼라마이다스빌","110.7600","202604","08","83,000","11","개인","개인","2004","황새울로200번길 32","-","중개거래","경기 성남시 분당구"
"96","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","35.0000","202604","07","18,500","16","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"97","경기도 성남시 분당구 백현동","529","0529","0000","판교역 SK HUB","31.8300","202604","07","27,800","2","개인","개인","2014","판교역로 109","-","중개거래","경기 성남시 분당구"
"98","경기도 성남시 분당구 구미동","187-2","0187","0002","세종그랑시아∥","36.2000","202604","07","17,500","8","개인","개인","2003","구미로9번길 10","-","중개거래","경기 성남시 분당구"
"99","경기도 성남시 분당구 구미동","187-3","0187","0003","세종그랑시아｜","36.2000","202604","07","17,050","4","개인","개인","2003","구미로9번길 8","-","중개거래","경기 성남시 분당구"
"100","경기도 성남시 분당구 정자동","215","0215","0000","더샵 분당파크리버","84.9926","202604","07","99,000","7","개인","개인","2021","돌마로 171","-","중개거래","경기 성남시 분당구"
"101","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","26.4200","202604","07","20,000","13","개인","개인","2004","정자일로 177","20260428","중개거래","경기 성남시 분당구"
"102","경기도 성남시 분당구 서현동","245-1","0245","0001","분당오벨리스크","35.7800","202604","07","20,850","11","법인","개인","2003","서현로 216","-","중개거래","경기 성남시 분당구"
"103","경기도 성남시 분당구 금곡동","171","0171","0000","골든벨리오피스텔","36.3600","202604","06","15,800","3","개인","개인","2003","성남대로171번길 9","-","중개거래","경기 성남시 분당구"
"104","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","32.9000","202604","06","16,900","7","개인","개인","2004","성남대로 51","-","중개거래","경기 성남시 분당구"
"105","경기도 성남시 분당구 수내동","5-2","0005","0002","삼성보보스쉐르빌","33.7600","202604","06","24,700","18","개인","개인","2004","수내로 54","20260430","중개거래","경기 성남시 분당구"
"106","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","29.4000","202604","06","36,500","32","개인","개인","2004","느티로 22","-","중개거래","경기 성남시 분당구"
"107","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","75.9100","202604","06","67,000","7","개인","법인","2004","정자일로 177","-","중개거래","경기 성남시 분당구"
"108","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","48.1700","202604","05","34,000","25","개인","개인","2004","백현로 105","-","중개거래","경기 성남시 분당구"
"109","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","25.0800","202604","04","22,000","25","개인","개인","2015","정자일로 135","-","직거래","-"
