"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"52","경기도 성남시 중원구 중앙동","577","0577","0000","중앙동힐스테이트2차","월세","120.6000","202604","27","42,000","105","15","2014","시민로 66","202606~202806","갱신","사용","40,000","100","아파트"
"53","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202604","27","29,000","0","3","1994","금상로 134","202607~202807","신규","-","","","아파트"
"54","경기도 성남시 중원구 금광동","2450-1","2450","0001","황송마을","월세","49.9800","202604","27","2,000","85","2","1993","황송로 6","202604~202804","갱신","사용","2,000","80","아파트"
"55","경기도 성남시 중원구 중앙동","710","0710","0000","롯데캐슬","전세","84.9400","202604","26","68,000","0","4","2012","희망로 415","202607~202807","신규","-","","","아파트"
"56","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","월세","51.9600","202604","25","20,000","150","17","2023","금광로 40","202607~202807","신규","-","","","아파트"
"57","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","전세","84.9300","202604","25","50,000","0","6","2003","둔촌대로 300","202607~202807","신규","-","","","아파트"
"58","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","월세","59.9500","202604","25","5,000","140","23","2023","금광로 40","202607~202807","갱신","사용","5,000","135","아파트"
"59","경기도 성남시 중원구 금광동","2600","2600","0000","한양수자인성남마크뷰","전세","50.3668","202604","25","20,000","0","5","2021","광명로 411","202606~202809","신규","-","","","아파트"
"60","경기도 성남시 중원구 금광동","2450-1","2450","0001","황송마을","전세","49.9800","202604","25","25,000","0","10","1993","황송로 6","202605~202805","갱신","사용","25,000","0","아파트"
"61","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202604","25","25,200","0","1","1994","금상로 134","202605~202805","갱신","사용","24,000","0","아파트"
