"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"119","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","44.1100","202603","20","5,000","140","13","2018"," ","202604~202704","신규","-","",""
"120","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","전세","41.6300","202603","20","32,700","0","18","2018","위례광장로 21-9","202603~202803","갱신","사용","33,000","0"
"121","경기도 성남시 수정구 시흥동","339","0339","0000","판교아이스퀘어","월세","27.0300","202603","20","1,000","100","6","2021","창업로 17","202603~202703","신규","-","",""
"122","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","35.4300","202603","20","2,000","130","6","2018"," ","202605~202705","신규","-","",""
"123","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","35.4300","202603","19","30,000","5","12","2018"," ","202604~202804","갱신","사용","30,000","0"
"124","경기도 성남시 수정구 신흥동","2506","2506","0000","The Zen City 오피스텔","전세","51.6500","202603","19","30,000","0","6","2023","산성대로269번길 6-8","202605~202805","갱신","사용","29,000","0"
"125","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","월세","24.1500","202603","18","5,000","40","15","2018","위례광장로 21-9","202604~202904","신규","-","",""
"126","경기도 성남시 수정구 태평동","6524","6524","0000","코지팰리스","월세","56.2900","202603","18","30,000","50","11","2020","성남대로 1246","202604~202804","신규","-","",""
"127","경기도 성남시 수정구 시흥동","322","0322","0000","판교아이스퀘어","월세","23.9600","202603","18","1,000","132","6","2021","대왕판교로 815","202604~202704","신규","-","",""
"128","경기도 성남시 수정구 시흥동","322","0322","0000","판교아이스퀘어","월세","23.9500","202603","18","1,000","125","4","2021","대왕판교로 815","202603~202703","신규","-","",""
"129","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","월세","19.8500","202603","18","1,000","90","8","2017"," ","202603~202703","신규","-","",""
"130","경기도 성남시 수정구 창곡동","559-7","0559","0007","위례 헤리움","월세","39.4600","202603","18","2,000","155","13","2018","위례서일로 30","202604~202704","신규","-","",""
"131","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","월세","25.7700","202603","18","19,000","18","5","2017"," ","202605~202805","신규","-","",""
"132","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","44.1100","202603","17","30,000","20","8","2018"," ","202605~202805","신규","-","",""
"133","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","35.4300","202603","17","2,000","135","17","2018"," ","202604~202712","신규","-","",""
"134","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","월세","65.1800","202603","16","9,000","115","6","2024","산성대로283번길 6-10","202605~202805","신규","-","",""
