"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"97","경기도 성남시 수정구 산성동","410","0410","0000","신성빌라(다동)","월세","36.6600","202603","28","1,000","60","-1","1997","수정남로324번길 6","202603~202703","신규","-","","","연립다세대"
"98","경기도 성남시 수정구 수진동","4781","4781","0000","동명빌라(2동3동)","전세","60.4900","202603","28","16,538","0","3","1985","모란로 23","202604~202804","갱신","-","15,750","0","연립다세대"
"99","경기도 성남시 수정구 태평동","7319-1","7319","0001","잉꼬빌라","전세","42.0900","202603","28","7,500","0","3","1993","시민로198번길 3-12","202605~202805","갱신","-","16,000","0","연립다세대"
"100","경기도 성남시 수정구 단대동","15-3","0015","0003","청송빌라(3차)","월세","37.7600","202603","28","1,000","60","1","1994","논골로65번길 4-1","202605~202805","신규","-","","","연립다세대"
"101","경기도 성남시 수정구 양지동","428","0428","0000","금성빌라(C동)","전세","41.2000","202603","28","17,000","0","1","1988","산성대로527번길 19-7","202606~202806","신규","-","","","연립다세대"
"102","경기도 성남시 수정구 태평동","6460-1","6460","0001","덕인맨션(B동)","전세","59.6400","202603","27","31,000","0","3","2000","수정로73번길 6-4","202607~202807","신규","-","","","연립다세대"
"103","경기도 성남시 수정구 태평동","2764","2764","0000","노블스타","전세","59.5200","202603","27","27,510","0","4","2015","남문로 103","202604~202804","갱신","-","26,200","0","연립다세대"
"104","경기도 성남시 수정구 태평동","7301","7301","0000","로얄맨션A동","월세","47.0600","202603","25","200","20","3","1983","공원로421번길 3","202603~202803","신규","-","","","연립다세대"
"105","경기도 성남시 수정구 태평동","3279-1","3279","0001","SM베르디움","월세","51.1800","202603","25","1,000","100","2","2017","남문로90번길 4","202604~202612","신규","-","","","연립다세대"
"106","경기도 성남시 수정구 단대동","37-1","0037","0001","성남빌라","전세","42.0150","202603","24","12,500","0","1","1994","논골로61번길 19","202605~202805","신규","-","","","연립다세대"
"107","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.9816","202603","24","53,683","31","3","2017","위례동이로 24","202604~202804","갱신","-","52,838","31","연립다세대"
"108","경기도 성남시 수정구 단대동","22-4","0022","0004","청송빌라(2차)","전세","35.2400","202603","23","10,000","0","1","1994","논골로63번길 3-1","202605~202805","신규","-","","","연립다세대"
"109","경기도 성남시 수정구 신흥동","5260","5260","0000","렉스빌Ⅳ","전세","32.7800","202603","23","14,000","0","4","2007","수정남로 128-1","202605~202805","신규","-","","","연립다세대"
"110","경기도 성남시 수정구 태평동","513","0513","0000","영현맨션빌라","월세","62.0800","202603","23","3,000","90","2","1997","태평로78번길 8","202605~202805","신규","-","","","연립다세대"
"111","경기도 성남시 수정구 태평동","3780","3780","0000","청송빌","전세","46.4100","202603","23","26,600","0","3","2019","남문로60번길 11-3","202605~202805","신규","-","","","연립다세대"
"112","경기도 성남시 수정구 산성동","451","0451","0000","대호로얄빌라","전세","59.3700","202603","22","19,800","0","1","2000","수정남로326번길 10","202603~202803","갱신","사용","19,500","0","연립다세대"
"113","경기도 성남시 수정구 산성동","583","0583","0000","산성호스트빌2차","전세","53.3700","202603","21","21,500","0","5","2006","수정남로306번길 15-9","202604~202804","갱신","-","20,000","0","연립다세대"
"114","경기도 성남시 수정구 단대동","29-9","0029","0009","한성빌라","월세","39.6200","202603","21","2,000","50","4","1993","논골로53번길 6-10","202604~202804","신규","-","","","연립다세대"
"115","경기도 성남시 수정구 양지동","389","0389","0000","초원빌라","전세","40.9800","202603","21","15,000","0","2","1990","논골로36번길 32-1","202605~202805","신규","-","","","연립다세대"
"116","경기도 성남시 수정구 산성동","571","0571","0000","대흥빌","전세","47.1100","202603","21","20,000","0","3","2007","수정남로306번길 15-8","202605~202805","신규","-","","","연립다세대"
"117","경기도 성남시 수정구 상적동","294-13","0294","0013","운서재3","전세","83.4800","202603","21","34,700","0","3","2016","달래내로387번길 16","202604~202804","갱신","사용","33,070","0","연립다세대"
"118","경기도 성남시 수정구 태평동","7317-2","7317","0002","주형빌라(A동)","전세","32.2200","202603","21","10,000","0","3","1987","시민로197번길 6-16","202604~202804","신규","-","","","연립다세대"
"119","경기도 성남시 수정구 오야동","288-9","0288","0009","(288-9)","전세","139.0600","202603","21","45,000","0","3","2007","오야남로 39","202603~202803","갱신","-","42,000","0","연립다세대"
"120","경기도 성남시 수정구 태평동","7172-1","7172","0001","미화빌라(나)","월세","41.2300","202603","20","3,500","50","2","1990","성남대로1263번길 14-3","202603~202703","갱신","-","3,000","50","연립다세대"
"121","경기도 성남시 수정구 수진동","2957","2957","0000","대성맨션","월세","63.8600","202603","20","5,000","75","5","2002","제일로157번길 13","202604~202804","갱신","-","5,000","70","연립다세대"
"122","경기도 성남시 수정구 양지동","641","0641","0000","(641-0)","월세","39.8000","202603","19","1,500","50","-1","2007","양지로23번길 1","202605~202805","신규","-","","","연립다세대"
"123","경기도 성남시 수정구 산성동","35","0035","0000","(35-0)","월세","58.9500","202603","19","19,000","14","5","2006","수정남로339번길 16","202606~202806","갱신","사용","19,000","10","연립다세대"
"124","경기도 성남시 수정구 태평동","7123-15","7123","0015","오성빌라","월세","26.1000","202603","19","500","45","-1","1990","모란로145번길 3-1","202604~202803","신규","-","","","연립다세대"
"125","경기도 성남시 수정구 태평동","3428","3428","0000","스위트빌","전세","75.2200","202603","19","32,000","0","6","2001","수정북로 72","202606~202806","신규","-","","","연립다세대"
"126","경기도 성남시 수정구 산성동","130","0130","0000","대왕주택2차","전세","37.0100","202603","19","12,000","0","3","1997","수정남로328번길 3","202605~202805","신규","-","","","연립다세대"
