"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"87","경기도 성남시 수정구 창곡동","500","0500","0000","위례31단지","월세","37.4300","202604","29","6,012","10","13","2017","위례순환로 17","202605~202804","갱신","-","3,701","22","아파트"
"88","경기도 성남시 수정구 고등동","578","0578","0000","고등마을","월세","26.5200","202604","29","1,683","15","4","2019","고등로 57","202604~202806","신규","-","","","아파트"
"89","경기도 성남시 수정구 창곡동","504","0504","0000","위례센트럴자이","전세","74.9900","202604","28","75,000","0","10","2017","위례광장로 97","202607~202807","신규","-","","","아파트"
"90","경기도 성남시 수정구 신흥동","6961","6961","0000","산성역자이푸르지오1단지","전세","84.9800","202604","28","63,000","0","29","2024","수정로 260","202606~202806","갱신","사용","60,000","0","아파트"
"91","경기도 성남시 수정구 고등동","592","0592","0000","판교밸리호반써밋","전세","84.9872","202604","28","47,400","0","6","2019","고등로 34","202606~202706","신규","-","","","아파트"
"92","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202604","28","48,699","24","2","2019","헌릉로 1005","202605~202705","갱신","-","47,933","23","아파트"
"93","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202604","28","54,363","0","10","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"94","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202604","28","54,363","0","2","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"95","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.9695","202604","28","54,363","0","3","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"96","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","134.3577","202604","28","74,750","0","12","2019","헌릉로 1005","202605~202705","갱신","-","73,573","0","아파트"
"97","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","134.2637","202604","28","74,750","0","12","2019","헌릉로 1005","202605~202705","갱신","-","73,573","0","아파트"
"98","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.9695","202604","28","54,363","0","2","2019","헌릉로 1005","202604~202704","갱신","-","53,507","0","아파트"
