gu_name,행정구역읍면동코드,total_workers,regular_workers,self_employed,self_employed_ratio,industry_A,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I,industry_J,industry_K,industry_L,industry_M,industry_N,industry_O,industry_P,industry_Q,industry_R,industry_S,dong_name,total_biz,it_ratio,건설업(41~42),"공공 행정, 국방 및 사회보장 행정(84)",광업(05~08),교육 서비스업(85),금융 및 보험업(64~66),"농업, 임업 및 어업(01~03)",도매 및 소매업(45~47),보건업 및 사회복지 서비스업(86~87),부동산업(68),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",숙박 및 음식점업(55~56),"예술, 스포츠 및 여가관련 서비스업(90~91)",운수 및 창고업(49~52),"전기, 가스, 증기 및 공기조절 공급업(35)","전문, 과학 및 기술 서비스업(70~73)",정보통신업(58~63),제조업(10~34),"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
수정구,680,17334.0,9748.0,3741.0,0.2158186223606784,0.0,0.0,266.0,11.0,0.0,1992.0,2896.0,800.0,1780.0,567.0,360.0,664.0,1618.0,507.0,191.0,2314.0,2237.0,415.0,716.0,시흥동,685,0.2583941605839416,28,3,0,12,7,2,129,7,21,14,1,73,16,31,0,66,177,57,41
중원구,510,14584.0,6752.0,4396.0,0.3014262205156335,0.0,0.0,720.0,11.0,101.0,802.0,2224.0,699.0,2491.0,131.0,309.0,410.0,407.0,1461.0,535.0,957.0,2159.0,445.0,722.0,성남동,3417,0.025460930640913,155,3,0,138,24,1,838,141,193,116,8,747,141,203,1,113,87,210,298
중원구,530,2886.0,1383.0,963.0,0.3336798336798336,0.0,0.0,97.0,0.0,0.0,63.0,419.0,160.0,312.0,17.0,249.0,156.0,40.0,26.0,0.0,442.0,726.0,69.0,110.0,금광1동,505,0.0039603960396039,18,1,0,56,1,0,102,44,49,11,0,86,22,12,0,10,2,38,53
중원구,540,5191.0,2285.0,2013.0,0.387786553650549,0.0,0.0,218.0,0.0,0.0,227.0,669.0,307.0,696.0,62.0,19.0,144.0,324.0,55.0,141.0,954.0,897.0,157.0,321.0,금광2동,1860,0.0231182795698924,136,3,1,103,5,0,404,79,110,45,1,349,85,29,0,87,43,129,251
중원구,550,667.0,255.0,321.0,0.4812593703148425,0.0,0.0,4.0,0.0,0.0,53.0,103.0,102.0,31.0,10.0,0.0,23.0,14.0,11.0,0.0,81.0,130.0,3.0,102.0,은행1동,227,0.0220264317180616,28,1,0,15,1,0,70,9,16,11,0,12,3,9,0,7,5,6,34
중원구,560,2649.0,963.0,1242.0,0.4688561721404303,0.0,0.0,49.0,0.0,0.0,203.0,611.0,283.0,331.0,22.0,37.0,109.0,60.0,61.0,0.0,270.0,374.0,82.0,157.0,은행2동,829,0.0144752714113389,82,2,0,53,6,0,229,63,53,21,0,106,39,16,1,15,12,37,94
중원구,570,45629.0,40375.0,3441.0,0.0754125665695062,46.0,0.0,23045.0,0.0,97.0,1972.0,6160.0,2437.0,719.0,1360.0,193.0,702.0,4929.0,1241.0,562.0,186.0,1023.0,111.0,846.0,상대원1동,5688,0.0339310829817158,325,4,0,49,25,2,1314,76,313,122,8,294,55,122,3,392,193,2167,224
중원구,580,4166.0,3278.0,537.0,0.1289006240998559,0.0,0.0,1552.0,0.0,0.0,176.0,901.0,117.0,184.0,140.0,0.0,68.0,525.0,156.0,0.0,5.0,182.0,54.0,106.0,상대원2동,780,0.0243589743589743,55,2,0,7,6,0,206,20,36,18,3,107,37,6,0,42,19,156,60
중원구,590,1734.0,536.0,957.0,0.5519031141868512,0.0,0.0,158.0,0.0,0.0,117.0,416.0,87.0,257.0,6.0,18.0,59.0,14.0,22.0,0.0,81.0,299.0,56.0,144.0,상대원3동,931,0.0042964554242749,76,1,0,22,2,0,260,45,58,11,0,171,48,11,1,10,4,77,134
중원구,600,5757.0,3445.0,1578.0,0.2741010943199583,0.0,0.0,499.0,0.0,323.0,528.0,1054.0,914.0,301.0,16.0,7.0,122.0,179.0,233.0,0.0,454.0,605.0,53.0,469.0,하대원동,1194,0.0142378559463986,113,2,0,61,7,0,402,38,57,36,23,88,20,40,3,47,17,118,122
중원구,610,8848.0,6189.0,1687.0,0.1906645569620253,0.0,0.0,380.0,10.0,50.0,687.0,1316.0,612.0,552.0,319.0,157.0,273.0,497.0,218.0,1723.0,595.0,856.0,220.0,383.0,도촌동,700,0.0342857142857142,60,2,0,81,4,0,216,41,27,30,3,46,24,18,7,28,24,28,61
중원구,620,1819.0,694.0,935.0,0.514018691588785,0.0,0.0,23.0,0.0,0.0,76.0,354.0,171.0,300.0,24.0,25.0,113.0,25.0,37.0,0.0,148.0,316.0,83.0,124.0,중앙동,694,0.015850144092219,31,1,0,49,4,0,171,36,44,26,0,161,37,20,1,8,11,25,69
